relationship_type,category,description,rank,suggested_wikidata_property,suggested_wikidata_label,suggested_wikidata_description,suggested_wikidata_type,score,confidence,query_used,method,review_status
ATTRIBUTED_TO,Attribution,Citation attributed to author,2,P8264,attribution text,"the attribution string as specified by the licensor, that re-users are obliged to name",http://wikiba.se/ontology#String,0.469,low,attributed to,local_catalog_similarity,pending_review
ATTRIBUTED_TO,Attribution,Citation attributed to author,3,P2210,relative to,qualifier: what a statement value is relative to,http://wikiba.se/ontology#WikibaseItem,0.465,low,attributed to,local_catalog_similarity,pending_review
DESCRIBES,Attribution,Citation describes entity/event,1,P2384,statement describes,formalization of the statement contains a bound variable in this class,http://wikiba.se/ontology#WikibaseItem,0.495,low,describes,local_catalog_similarity,pending_review
DESCRIBES,Attribution,Citation describes entity/event,2,P12027,describes actor of,predicate sense whose actor (an agent or a cause—basically the instigator of an action) is denoted by this sense,http://wikiba.se/ontology#WikibaseSense,0.451,low,describes,local_catalog_similarity,pending_review
DESCRIBES,Attribution,Citation describes entity/event,3,P12028,describes undergoer of,"predicate sense whose undergoer (a patient, a theme, or a recipient—basically a non-instigator of an action) is denoted by this sense",http://wikiba.se/ontology#WikibaseSense,0.394,low,describes,local_catalog_similarity,pending_review
EXTRACTED_FROM,Attribution,Citation extracted from work,1,P7009,extracted from,source this image was cropped from. Use on Wikimedia Commons only.,http://wikiba.se/ontology#CommonsMedia,0.705,medium,extracted from,local_catalog_similarity,pending_review
EXTRACTED_FROM,Attribution,Citation extracted from work,2,P807,separated from,subject was founded or started by separating from identified object,http://wikiba.se/ontology#WikibaseItem,0.588,low,extracted from,local_catalog_similarity,pending_review
EXTRACTED_FROM,Attribution,Citation extracted from work,3,P14094,translates from,"language(s) that this person, company or organization translates works texts from",http://wikiba.se/ontology#WikibaseItem,0.524,low,extracted from,local_catalog_similarity,pending_review
INTERPRETS,Attribution,Citation interprets entity/event,1,P1268,represents,"organization, individual, or concept that an entity represents",http://wikiba.se/ontology#WikibaseItem,0.399,low,Citation interprets entity/event,local_catalog_similarity,pending_review
INTERPRETS,Attribution,Citation interprets entity/event,2,P2127,International Nuclear Event Scale,international scale for rating nuclear events and accidents,http://wikiba.se/ontology#WikibaseItem,0.361,low,Citation interprets entity/event,local_catalog_similarity,pending_review
INTERPRETS,Attribution,Citation interprets entity/event,3,P7903,gained territory from,(qualifier) territorial entity from which the subject item gained territory as a result of the event in the statement,http://wikiba.se/ontology#WikibaseItem,0.350,low,Citation interprets entity/event,local_catalog_similarity,pending_review
MENTIONS,Attribution,Citation mentions entity,1,P6568,inscription mentions,item about a person or an object mentioned in the inscription's text. Use on Wikimedia Commons on media files,http://wikiba.se/ontology#WikibaseItem,0.466,low,Citation mentions entity,local_catalog_similarity,pending_review
MENTIONS,Attribution,Citation mentions entity,2,P560,direction,relative direction of an entity,http://wikiba.se/ontology#WikibaseItem,0.382,low,Citation mentions entity,local_catalog_similarity,pending_review
MENTIONS,Attribution,Citation mentions entity,3,P3491,muscle insertion,the anatomic entity to which the end of a muscle is anchored,http://wikiba.se/ontology#WikibaseItem,0.369,low,Citation mentions entity,local_catalog_similarity,pending_review
QUOTES,Attribution,Citation is direct quote from source,1,P6166,quotes work,"other creative work which this work quotes from textually, verbally or lyrically",http://wikiba.se/ontology#WikibaseItem,0.536,low,quotes,local_catalog_similarity,pending_review
QUOTES,Attribution,Citation is direct quote from source,2,P8394,gloss quote,"gloss for a lexeme, which originates from a citable source",http://wikiba.se/ontology#Monolingualtext,0.355,low,Citation is direct quote from source,local_catalog_similarity,pending_review
QUOTES,Attribution,Citation is direct quote from source,3,P3103,has tense,"grammatical category expressing time reference of the language. To include a sample, use qualifier ""quote"" (P1683), sample: ""He writes"". If an activity before is needed ""He sees"". If an activity afterwards is needed: ""He reads"".",http://wikiba.se/ontology#WikibaseItem,0.297,low,Citation is direct quote from source,local_catalog_similarity,pending_review
SUMMARIZES,Attribution,Citation summarizes entity/event,1,P3085,qualifies for event,this event qualifies for that event,http://wikiba.se/ontology#WikibaseItem,0.315,low,Citation summarizes entity/event,local_catalog_similarity,pending_review
SUMMARIZES,Attribution,Citation summarizes entity/event,2,P664,organizer,person or institution organizing an event,http://wikiba.se/ontology#WikibaseItem,0.294,low,Citation summarizes entity/event,local_catalog_similarity,pending_review
SUMMARIZES,Attribution,Citation summarizes entity/event,3,P2127,International Nuclear Event Scale,international scale for rating nuclear events and accidents,http://wikiba.se/ontology#WikibaseItem,0.286,low,Citation summarizes entity/event,local_catalog_similarity,pending_review
COMMISSIONED,Authorship,Commissioned creation of work,1,P88,commissioned by,person or organization that commissioned this work,http://wikiba.se/ontology#WikibaseItem,0.683,medium,commissioned,local_catalog_similarity,pending_review
COMMISSIONED,Authorship,Commissioned creation of work,2,P2012,cuisine,type of food served by a restaurant or restaurant chain or national food culture,http://wikiba.se/ontology#WikibaseItem,0.396,low,Commissioned creation of work,local_catalog_similarity,pending_review
COMMISSIONED,Authorship,Commissioned creation of work,3,P531,diplomatic mission sent,"location of diplomatic mission, i.e. consulate of A in the capital city of B",http://wikiba.se/ontology#WikibaseItem,0.393,low,Commissioned creation of work,local_catalog_similarity,pending_review
COMMISSIONED_BY,Authorship,Work commissioned by,1,P88,commissioned by,person or organization that commissioned this work,http://wikiba.se/ontology#WikibaseItem,0.806,medium,commissioned by,local_catalog_similarity,pending_review
COMMISSIONED_BY,Authorship,Work commissioned by,2,P4791,commanded by,"commander of a military unit/army/security service, operation, etc.",http://wikiba.se/ontology#WikibaseItem,0.558,low,commissioned by,local_catalog_similarity,pending_review
COMMISSIONED_BY,Authorship,Work commissioned by,3,P2378,issued by,"organisation or other agent that issues or allocates an identifier, code, classification number, etc.",http://wikiba.se/ontology#WikibaseItem,0.505,low,commissioned by,local_catalog_similarity,pending_review
ACTION_JUSTIFIED_BY,Causality,Action justified by claim,1,P6193,ratified by,used to specify that a treaty has been ratified by a given state or subject of international law,http://wikiba.se/ontology#WikibaseItem,0.501,low,action justified by,local_catalog_similarity,pending_review
ACTION_JUSTIFIED_BY,Causality,Action justified by claim,2,P7122,opinion joined by,who joins a judicial opinion,http://wikiba.se/ontology#WikibaseItem,0.484,low,action justified by,local_catalog_similarity,pending_review
ACTION_JUSTIFIED_BY,Causality,Action justified by claim,3,P7508,election called by,person who summoned an election,http://wikiba.se/ontology#WikibaseItem,0.474,low,action justified by,local_catalog_similarity,pending_review
JUSTIFIED_ACTION,Causality,Claimed justification for action,1,P3310,muscle action,action a muscle engages in,http://wikiba.se/ontology#WikibaseItem,0.550,low,justified action,local_catalog_similarity,pending_review
JUSTIFIED_ACTION,Causality,Claimed justification for action,2,P12995,agent of action,particular animate item that initiates this action or class of actions,http://wikiba.se/ontology#WikibaseItem,0.453,low,justified action,local_catalog_similarity,pending_review
JUSTIFIED_ACTION,Causality,Claimed justification for action,3,P1642,acquisition transaction,how the player was acquired; qualifier for P54 (member of sports team),http://wikiba.se/ontology#WikibaseItem,0.430,low,Claimed justification for action,local_catalog_similarity,pending_review
MARKED_START,Causality,Event marked beginning of new period,1,P523,temporal range start,the start of a process or appearance of a life form or geological unit relative to the geologic time scale,http://wikiba.se/ontology#WikibaseItem,0.473,low,marked start,local_catalog_similarity,pending_review
MARKED_START,Causality,Event marked beginning of new period,2,P644,genomic start,genomic starting coordinate of the biological sequence (e.g. a gene),http://wikiba.se/ontology#String,0.388,low,marked start,local_catalog_similarity,pending_review
MARKED_START,Causality,Event marked beginning of new period,3,P8555,latest start date,(qualifier) latest date on which the statement could have started to be true,http://wikiba.se/ontology#Time,0.372,low,marked start,local_catalog_similarity,pending_review
START_MARKED_BY,Causality,Period had its beginning marked by event,1,P7086,start grade,lowest educational year (aka grade) taught by this institution,http://wikiba.se/ontology#WikibaseItem,0.516,low,start marked,local_catalog_similarity,pending_review
START_MARKED_BY,Causality,Period had its beginning marked by event,2,P13883,start work,work in which this statement about a fictional entity begins to be valid,http://wikiba.se/ontology#WikibaseItem,0.500,low,start marked,local_catalog_similarity,pending_review
START_MARKED_BY,Causality,Period had its beginning marked by event,3,P3415,start period,initial period in which the statement is valid (including the period-value),http://wikiba.se/ontology#WikibaseItem,0.478,low,start marked,local_catalog_similarity,pending_review
ADVANTAGE,Comparative,Type has advantage,1,P103,native language,language or languages a person (or group) has learned from early childhood,http://wikiba.se/ontology#WikibaseItem,0.415,low,Type has advantage,local_catalog_similarity,pending_review
ADVANTAGE,Comparative,Type has advantage,2,P9971,has semantic argument,(proto-)typical role played by an argument of a verb or verb phrase with respect to a particular sense in a particular language,http://wikiba.se/ontology#WikibaseItem,0.371,low,Type has advantage,local_catalog_similarity,pending_review
ADVANTAGE,Comparative,Type has advantage,3,P12443,has cabinet,value is the advisory committee to the item's head of state,http://wikiba.se/ontology#WikibaseItem,0.341,low,Type has advantage,local_catalog_similarity,pending_review
DISADVANTAGE,Comparative,Type has disadvantage,1,P103,native language,language or languages a person (or group) has learned from early childhood,http://wikiba.se/ontology#WikibaseItem,0.379,low,Type has disadvantage,local_catalog_similarity,pending_review
DISADVANTAGE,Comparative,Type has disadvantage,2,P9971,has semantic argument,(proto-)typical role played by an argument of a verb or verb phrase with respect to a particular sense in a particular language,http://wikiba.se/ontology#WikibaseItem,0.357,low,Type has disadvantage,local_catalog_similarity,pending_review
DISADVANTAGE,Comparative,Type has disadvantage,3,P786,stipe character,indicates whether a mushroom has a universal or partial veil,http://wikiba.se/ontology#WikibaseItem,0.335,low,Type has disadvantage,local_catalog_similarity,pending_review
INFERIOR_TO,Comparative,Type is inferior to another type,1,P3028,open period to,qualifier to P3025 (open days) for season when open days apply,http://wikiba.se/ontology#WikibaseItem,0.495,low,inferior to,local_catalog_similarity,pending_review
INFERIOR_TO,Comparative,Type is inferior to another type,2,P10645,reports to,the subject position reports to this position,http://wikiba.se/ontology#WikibaseItem,0.465,low,inferior to,local_catalog_similarity,pending_review
INFERIOR_TO,Comparative,Type is inferior to another type,3,P2341,indigenous to,"place or ethnic group where a language, art genre, cultural tradition or expression, cooking style or food, or biological species or variety is found (or was originally found)",http://wikiba.se/ontology#WikibaseItem,0.448,low,inferior to,local_catalog_similarity,pending_review
SUPERIOR_TO,Comparative,Type is superior to another type,1,P3028,open period to,qualifier to P3025 (open days) for season when open days apply,http://wikiba.se/ontology#WikibaseItem,0.495,low,superior to,local_catalog_similarity,pending_review
SUPERIOR_TO,Comparative,Type is superior to another type,2,P9030,solution to,a mathematical object that satisfies the criteria for a mathematical problem,http://wikiba.se/ontology#WikibaseItem,0.490,low,superior to,local_catalog_similarity,pending_review
SUPERIOR_TO,Comparative,Type is superior to another type,3,P7904,gave up territory to,(qualifier) territorial entity to which the subject item gave up some of its territory as a result of the event in the statement,http://wikiba.se/ontology#WikibaseItem,0.485,low,superior to,local_catalog_similarity,pending_review
ASSIMILATED,Cultural,Culture that absorbed another group,1,P3335,associated hazard,"hazards implicit in the subject item: that a sign warns of; that one may encounter in this place, on this thoroughfare; that are inherent properties of (or threats to) the subject; etc.",http://wikiba.se/ontology#WikibaseItem,0.360,low,Culture that absorbed another group,local_catalog_similarity,pending_review
ASSIMILATED,Cultural,Culture that absorbed another group,2,P467,legislated by,indicates that an act or bill was passed by a legislature. The value can be a particular session of the legislature,http://wikiba.se/ontology#WikibaseItem,0.329,low,Culture that absorbed another group,local_catalog_similarity,pending_review
ASSIMILATED,Cultural,Culture that absorbed another group,3,P138,named after,"entity or event that inspired the subject's name, or namesake (in at least one language). Qualifier ""applies to name"" (P5168) can be used to indicate which one",http://wikiba.se/ontology#WikibaseItem,0.324,low,Culture that absorbed another group,local_catalog_similarity,pending_review
ASSIMILATED_TO,Cultural,Group/people assimilated into another culture,1,P825,dedicated to,person or organization to whom the subject was dedicated,http://wikiba.se/ontology#WikibaseItem,0.470,low,assimilated to,local_catalog_similarity,pending_review
ASSIMILATED_TO,Cultural,Group/people assimilated into another culture,2,P4101,thesis submitted to,institution to whom a thesis or dissertation is submitted,http://wikiba.se/ontology#WikibaseItem,0.464,low,assimilated to,local_catalog_similarity,pending_review
ASSIMILATED_TO,Cultural,Group/people assimilated into another culture,3,P12328,simulates,"item simulated, imitated, or made to appear real by this item",http://wikiba.se/ontology#WikibaseItem,0.462,low,assimilated to,local_catalog_similarity,pending_review
CLAIMS_HERITAGE_FROM,Cultural,Group claims heritage from earlier polity,1,P5852,item inherits statement from,(for a reference) statement is inherited from the superclass; superclass has exactly the same statement,http://wikiba.se/ontology#WikibaseItem,0.477,low,claims heritage from,local_catalog_similarity,pending_review
CLAIMS_HERITAGE_FROM,Cultural,Group claims heritage from earlier polity,2,P10754,distributed from,place or location where a good or service is distributed from,http://wikiba.se/ontology#WikibaseItem,0.474,low,claims heritage from,local_catalog_similarity,pending_review
CLAIMS_HERITAGE_FROM,Cultural,Group claims heritage from earlier polity,3,P7903,gained territory from,(qualifier) territorial entity from which the subject item gained territory as a result of the event in the statement,http://wikiba.se/ontology#WikibaseItem,0.448,low,claims heritage from,local_catalog_similarity,pending_review
EVOLVED_FROM,Cultural,Form evolved from another form,1,P3094,develops from,this class of items develops from another class of items (biology),http://wikiba.se/ontology#WikibaseItem,0.518,low,evolved from,local_catalog_similarity,pending_review
EVOLVED_FROM,Cultural,Form evolved from another form,2,P3452,inferred from,"statement added based on related statement found within the item, not the entity described by the item (to be used in a reference field)",http://wikiba.se/ontology#WikibaseItem,0.481,low,evolved from,local_catalog_similarity,pending_review
EVOLVED_FROM,Cultural,Form evolved from another form,3,P807,separated from,subject was founded or started by separating from identified object,http://wikiba.se/ontology#WikibaseItem,0.477,low,evolved from,local_catalog_similarity,pending_review
EVOLVED_INTO,Cultural,Form evolved into another form,1,P7888,merged into,"the subject was dissolved and merged into the object, that existed previously",http://wikiba.se/ontology#WikibaseItem,0.530,low,evolved into,local_catalog_similarity,pending_review
EVOLVED_INTO,Cultural,Form evolved into another form,2,P1040,film editor,"person who works with the raw footage, selecting shots and combining them into sequences to create a finished motion picture",http://wikiba.se/ontology#WikibaseItem,0.404,low,evolved into,local_catalog_similarity,pending_review
EVOLVED_INTO,Cultural,Form evolved into another form,3,P11633,colocated with,"event sharing location, facility or organization with another, typically larger event",http://wikiba.se/ontology#WikibaseItem,0.367,low,Form evolved into another form,local_catalog_similarity,pending_review
HERITAGE_OF,Cultural,Earlier polity is claimed heritage of later group,1,P1435,heritage designation,heritage designation of a cultural or natural site,http://wikiba.se/ontology#WikibaseItem,0.541,low,heritage of,local_catalog_similarity,pending_review
HERITAGE_OF,Cultural,Earlier polity is claimed heritage of later group,2,P933,Heritage NL ID,identifier of Heritage Foundation of Newfoundland and Labrador heritage property,http://wikiba.se/ontology#ExternalId,0.529,low,heritage,local_catalog_similarity,pending_review
HERITAGE_OF,Cultural,Earlier polity is claimed heritage of later group,3,P9700,delta of,river that empties water and sediment into its delta,http://wikiba.se/ontology#WikibaseItem,0.488,low,heritage of,local_catalog_similarity,pending_review
MYTHIC_ORIGIN_OF,Cultural,Mythic place is origin of group,1,P3490,muscle origin,the anatomic entity to which the beginning of a muscle is anchored,http://wikiba.se/ontology#WikibaseItem,0.532,low,mythic origin,local_catalog_similarity,pending_review
MYTHIC_ORIGIN_OF,Cultural,Mythic place is origin of group,2,P922,magnetic ordering,magnetic ordering of a substance,http://wikiba.se/ontology#WikibaseItem,0.448,low,mythic origin of,local_catalog_similarity,pending_review
MYTHIC_ORIGIN_OF,Cultural,Mythic place is origin of group,3,P12410,semantic derivation of,links a lexeme sense to a particular sense it is derived from,http://wikiba.se/ontology#WikibaseSense,0.442,low,mythic origin of,local_catalog_similarity,pending_review
ORIGIN_MYTH,Cultural,Group has mythic/legendary place of origin,1,P885,origin of the watercourse,"main source of a river, stream or lake",http://wikiba.se/ontology#WikibaseItem,0.410,low,origin myth,local_catalog_similarity,pending_review
ORIGIN_MYTH,Cultural,Group has mythic/legendary place of origin,2,P3490,muscle origin,the anatomic entity to which the beginning of a muscle is anchored,http://wikiba.se/ontology#WikibaseItem,0.408,low,origin myth,local_catalog_similarity,pending_review
ORIGIN_MYTH,Cultural,Group has mythic/legendary place of origin,3,P5438,signum,familiar nickname of the ancient Romans of Greek origin developed during the 3rd century,http://wikiba.se/ontology#WikibaseItem,0.387,low,origin myth,local_catalog_similarity,pending_review
DIPLOMATIC_ACTION,Diplomatic,,1,P530,diplomatic relation,diplomatic relations of the country,http://wikiba.se/ontology#WikibaseItem,0.656,low,diplomatic action,local_catalog_similarity,pending_review
DIPLOMATIC_ACTION,Diplomatic,,2,P531,diplomatic mission sent,"location of diplomatic mission, i.e. consulate of A in the capital city of B",http://wikiba.se/ontology#WikibaseItem,0.518,low,diplomatic action,local_catalog_similarity,pending_review
DIPLOMATIC_ACTION,Diplomatic,,3,P11747,holds diplomatic passport of,country of the diplomatic passport held by the person,http://wikiba.se/ontology#WikibaseItem,0.474,low,diplomatic action,local_catalog_similarity,pending_review
ACCEPTED_OFFER,Diplomatic,Accepted diplomatic offer/proposal,1,P2851,payment types accepted,types of payment accepted by a venue,http://wikiba.se/ontology#WikibaseItem,0.379,low,accepted offer,local_catalog_similarity,pending_review
ACCEPTED_OFFER,Diplomatic,Accepted diplomatic offer/proposal,2,P12649,number of accepted contributions,"number of accepted submissions, e.g., conference articles to a conference",http://wikiba.se/ontology#Quantity,0.338,low,accepted offer,local_catalog_similarity,pending_review
ACCEPTED_OFFER,Diplomatic,Accepted diplomatic offer/proposal,3,P11747,holds diplomatic passport of,country of the diplomatic passport held by the person,http://wikiba.se/ontology#WikibaseItem,0.317,low,Accepted diplomatic offer/proposal,local_catalog_similarity,pending_review
APPEALED_TO,Diplomatic,Entity appealed/requested help from another,1,P12452,appeals to,court or other body that hears appeals from subject's decisions,http://wikiba.se/ontology#WikibaseItem,0.631,low,appealed to,local_catalog_similarity,pending_review
APPEALED_TO,Diplomatic,Entity appealed/requested help from another,2,P13047,leased to,person or organisation that holds or was granted a lease on the subject,http://wikiba.se/ontology#WikibaseItem,0.518,low,appealed to,local_catalog_similarity,pending_review
APPEALED_TO,Diplomatic,Entity appealed/requested help from another,3,P9234,supplement to,subject work or edition updates or otherwise complements the object work or edition,http://wikiba.se/ontology#WikibaseItem,0.446,low,appealed to,local_catalog_similarity,pending_review
NEGOTIATED_AGAINST,Diplomatic,Counterpart negotiated with entity,1,P8786,dedicated heritage entity,heritage entity dedicated to or associated with the item's subject,http://wikiba.se/ontology#WikibaseItem,0.405,low,Counterpart negotiated with entity,local_catalog_similarity,pending_review
NEGOTIATED_AGAINST,Diplomatic,Counterpart negotiated with entity,2,P11633,colocated with,"event sharing location, facility or organization with another, typically larger event",http://wikiba.se/ontology#WikibaseItem,0.386,low,Counterpart negotiated with entity,local_catalog_similarity,pending_review
NEGOTIATED_AGAINST,Diplomatic,Counterpart negotiated with entity,3,P4070,identifier shared with,"qualifier, to be used on external identifier IDs, indicating another Wikidata item is also matched to this ID",http://wikiba.se/ontology#WikibaseItem,0.353,low,Counterpart negotiated with entity,local_catalog_similarity,pending_review
NEGOTIATED_WITH,Diplomatic,Entity negotiated with counterpart,1,P11633,colocated with,"event sharing location, facility or organization with another, typically larger event",http://wikiba.se/ontology#WikibaseItem,0.526,low,negotiated with,local_catalog_similarity,pending_review
NEGOTIATED_WITH,Diplomatic,Entity negotiated with counterpart,2,P8956,compatible with,"this work, product, object or standard can interact with another work, product, object or standard",http://wikiba.se/ontology#WikibaseItem,0.467,low,negotiated with,local_catalog_similarity,pending_review
NEGOTIATED_WITH,Diplomatic,Entity negotiated with counterpart,3,P2789,connects with,item with which the item is physically connected,http://wikiba.se/ontology#WikibaseItem,0.457,low,negotiated with,local_catalog_similarity,pending_review
OFFERED_SELF_TO,Diplomatic,Offered themselves as subjects/allies to another entity,1,P3452,inferred from,"statement added based on related statement found within the item, not the entity described by the item (to be used in a reference field)",http://wikiba.se/ontology#WikibaseItem,0.440,low,offered self to,local_catalog_similarity,pending_review
OFFERED_SELF_TO,Diplomatic,Offered themselves as subjects/allies to another entity,2,P2675,reply to,the intellectual work to which the subsequent work is a direct reply,http://wikiba.se/ontology#WikibaseItem,0.415,low,offered self to,local_catalog_similarity,pending_review
OFFERED_SELF_TO,Diplomatic,Offered themselves as subjects/allies to another entity,3,P10645,reports to,the subject position reports to this position,http://wikiba.se/ontology#WikibaseItem,0.399,low,offered self to,local_catalog_similarity,pending_review
OFFER_ACCEPTED_BY,Diplomatic,Diplomatic offer was accepted by entity,1,P5824,retracted by,(article) is retracted by (retraction notice),http://wikiba.se/ontology#WikibaseItem,0.537,low,offer accepted by,local_catalog_similarity,pending_review
OFFER_ACCEPTED_BY,Diplomatic,Diplomatic offer was accepted by entity,2,P5514,accredited by,"optionally use together with ""subject has role"" (P2868)",http://wikiba.se/ontology#WikibaseItem,0.510,low,offer accepted by,local_catalog_similarity,pending_review
OFFER_ACCEPTED_BY,Diplomatic,Diplomatic offer was accepted by entity,3,P1027,conferred by,"person or organization who grants an award, certification, grant, or role",http://wikiba.se/ontology#WikibaseItem,0.477,low,offer accepted by,local_catalog_similarity,pending_review
OFFER_REJECTED_BY,Diplomatic,Diplomatic offer was rejected by entity,1,P1027,conferred by,"person or organization who grants an award, certification, grant, or role",http://wikiba.se/ontology#WikibaseItem,0.521,low,offer rejected by,local_catalog_similarity,pending_review
OFFER_REJECTED_BY,Diplomatic,Diplomatic offer was rejected by entity,2,P5824,retracted by,(article) is retracted by (retraction notice),http://wikiba.se/ontology#WikibaseItem,0.492,low,offer rejected by,local_catalog_similarity,pending_review
OFFER_REJECTED_BY,Diplomatic,Diplomatic offer was rejected by entity,3,P8004,ordered by,subject that ordered the act,http://wikiba.se/ontology#WikibaseItem,0.474,low,offer rejected by,local_catalog_similarity,pending_review
RECEIVED_APPEAL_FROM,Diplomatic,Entity received appeal/request for help,1,P1194,received signal type,type of signal received by a device,http://wikiba.se/ontology#WikibaseItem,0.496,low,received appeal,local_catalog_similarity,pending_review
RECEIVED_APPEAL_FROM,Diplomatic,Entity received appeal/request for help,2,P3094,develops from,this class of items develops from another class of items (biology),http://wikiba.se/ontology#WikibaseItem,0.425,low,received appeal from,local_catalog_similarity,pending_review
RECEIVED_APPEAL_FROM,Diplomatic,Entity received appeal/request for help,3,P12452,appeals to,court or other body that hears appeals from subject's decisions,http://wikiba.se/ontology#WikibaseItem,0.411,low,received appeal from,local_catalog_similarity,pending_review
RECEIVED_ENVOYS_FROM,Diplomatic,Received diplomatic envoys/representatives from entity,1,P3094,develops from,this class of items develops from another class of items (biology),http://wikiba.se/ontology#WikibaseItem,0.475,low,received envoys from,local_catalog_similarity,pending_review
RECEIVED_ENVOYS_FROM,Diplomatic,Received diplomatic envoys/representatives from entity,2,P4745,is proceedings from,this work contains articles presented at the given event,http://wikiba.se/ontology#WikibaseItem,0.473,low,received envoys from,local_catalog_similarity,pending_review
