artifact_id,artifact_type,path,status,canonicality,owner_role,used_by_agent_roles,task_tags,when_to_use,inputs,outputs,mutation_scope,gates,dependencies,example_invocation_or_query,validation_command,source_of_truth_ref,last_validated_at
key_files_2-13-26_sysml_v2_system_model_-_blocks_and_ports_starter_md,architecture_doc,Key Files/2-13-26 SysML v2 System Model - Blocks and Ports (Starter).md,active,legacy_reference,Platform,SCA;SFA;Pi,sysml,Use as supporting project artifact.,N/A,Human-readable guidance,read_only,none,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,open Key Files/2-13-26 SysML v2 System Model - Blocks and Ports (Starter).md,manual_review,Key Files/2-12-26 Chrystallum Architecture - CONSOLIDATED.md,2026-02-18
key_files_2026-02-14_query_executor_implementation_md,architecture_doc,Key Files/2026-02-14 Query Executor Implementation.md,active,legacy_reference,Platform,SCA;SFA;Pi,general,Use as supporting project artifact.,N/A,Human-readable guidance,read_only,none,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,open Key Files/2026-02-14 Query Executor Implementation.md,manual_review,Key Files/2-12-26 Chrystallum Architecture - CONSOLIDATED.md,2026-02-18
key_files_architecture_implementation_index_md,architecture_doc,Key Files/ARCHITECTURE_IMPLEMENTATION_INDEX.md,active,legacy_reference,Platform,SCA;SFA;Pi,schema,Use as supporting project artifact.,N/A,Human-readable guidance,read_only,none,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,open Key Files/ARCHITECTURE_IMPLEMENTATION_INDEX.md,manual_review,Key Files/2-12-26 Chrystallum Architecture - CONSOLIDATED.md,2026-02-18
key_files_agent_use_case_matrix_md,architecture_doc,Key Files/Agent_Use_Case_Matrix.md,active,legacy_reference,Platform,SCA;SFA;Pi,agent_routing,Use as supporting project artifact.,N/A,Human-readable guidance,read_only,none,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,open Key Files/Agent_Use_Case_Matrix.md,manual_review,Key Files/2-12-26 Chrystallum Architecture - CONSOLIDATED.md,2026-02-18
key_files_claim_id_architecture_md,architecture_doc,Key Files/CLAIM_ID_ARCHITECTURE.md,active,legacy_reference,Platform,SCA;SFA;Pi,claims,Use as supporting project artifact.,N/A,Human-readable guidance,read_only,none,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,open Key Files/CLAIM_ID_ARCHITECTURE.md,manual_review,Key Files/2-12-26 Chrystallum Architecture - CONSOLIDATED.md,2026-02-18
key_files_diagrams_cypher_patterns_png,diagram,Key Files/Diagrams/cypher_patterns.png,active,legacy_reference,Platform,SCA;SFA;Pi,general,Use as supporting project artifact.,N/A,N/A,read_only,none,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,open Key Files/Diagrams/cypher_patterns.png,manual_review,Key Files/2-12-26 Chrystallum Architecture - CONSOLIDATED.md,2026-02-18
key_files_diagrams_neo4j_graph_structure_png,diagram,Key Files/Diagrams/neo4j_graph_structure.png,active,legacy_reference,Platform,SCA;SFA;Pi,general,Use as supporting project artifact.,N/A,N/A,read_only,none,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,open Key Files/Diagrams/neo4j_graph_structure.png,manual_review,Key Files/2-12-26 Chrystallum Architecture - CONSOLIDATED.md,2026-02-18
key_files_intent_motivation_agent_guidance_subgraph_md,architecture_doc,Key Files/Intent_Motivation_Agent_Guidance_Subgraph.md,active,legacy_reference,Platform,SCA;SFA;Pi,agent_routing,Use as supporting project artifact.,N/A,Human-readable guidance,read_only,none,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,open Key Files/Intent_Motivation_Agent_Guidance_Subgraph.md,manual_review,Key Files/2-12-26 Chrystallum Architecture - CONSOLIDATED.md,2026-02-18
key_files_main_nodes_md,architecture_doc,Key Files/Main nodes.md,active,legacy_reference,Platform,SCA;SFA;Pi,general,Use as supporting project artifact.,N/A,Human-readable guidance,read_only,none,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,open Key Files/Main nodes.md,manual_review,Key Files/2-12-26 Chrystallum Architecture - CONSOLIDATED.md,2026-02-18
key_files_parameters_md,architecture_doc,Key Files/parameters.md,active,legacy_reference,Platform,SCA;SFA;Pi,general,Use as supporting project artifact.,N/A,Human-readable guidance,read_only,none,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,open Key Files/parameters.md,manual_review,Key Files/2-12-26 Chrystallum Architecture - CONSOLIDATED.md,2026-02-18
neo4j_schema_01_schema_constraints_cypher,schema_cypher,Neo4j/schema/01_schema_constraints.cypher,active,canonical,Pi,Pi;SCA;SFA,schema,"Use for schema bootstrap, migration, or deterministic graph checks.",Neo4j graph state,Schema objects and deterministic query results,canonical_write,dispatcher_gate|policy_gate|U->Pi->Commit,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,cypher-shell -u neo4j -p <password> < Neo4j/schema/01_schema_constraints.cypher,cypher-shell -u neo4j -p <password> < Neo4j/schema/01_schema_constraints.cypher,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,2026-02-18
neo4j_schema_01_schema_constraints_neo5_compatible_cypher,schema_cypher,Neo4j/schema/01_schema_constraints_neo5_compatible.cypher,active,canonical,Pi,Pi;SCA;SFA,schema,"Use for schema bootstrap, migration, or deterministic graph checks.",Neo4j graph state,Schema objects and deterministic query results,canonical_write,dispatcher_gate|policy_gate|U->Pi->Commit,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,cypher-shell -u neo4j -p <password> < Neo4j/schema/01_schema_constraints_neo5_compatible.cypher,cypher-shell -u neo4j -p <password> < Neo4j/schema/01_schema_constraints_neo5_compatible.cypher,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,2026-02-18
neo4j_schema_02_schema_indexes_cypher,schema_cypher,Neo4j/schema/02_schema_indexes.cypher,active,canonical,Pi,Pi;SCA;SFA,schema,"Use for schema bootstrap, migration, or deterministic graph checks.",Neo4j graph state,Schema objects and deterministic query results,canonical_write,dispatcher_gate|policy_gate|U->Pi->Commit,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,cypher-shell -u neo4j -p <password> < Neo4j/schema/02_schema_indexes.cypher,cypher-shell -u neo4j -p <password> < Neo4j/schema/02_schema_indexes.cypher,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,2026-02-18
neo4j_schema_03_schema_initialization_cypher,schema_cypher,Neo4j/schema/03_schema_initialization.cypher,active,canonical,Pi,Pi;SCA;SFA,schema,"Use for schema bootstrap, migration, or deterministic graph checks.",Neo4j graph state,Schema objects and deterministic query results,canonical_write,dispatcher_gate|policy_gate|U->Pi->Commit,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,cypher-shell -u neo4j -p <password> < Neo4j/schema/03_schema_initialization.cypher,cypher-shell -u neo4j -p <password> < Neo4j/schema/03_schema_initialization.cypher,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,2026-02-18
neo4j_schema_03_schema_initialization_simple_cypher,schema_cypher,Neo4j/schema/03_schema_initialization_simple.cypher,active,canonical,Pi,Pi;SCA;SFA,schema,"Use for schema bootstrap, migration, or deterministic graph checks.",Neo4j graph state,Schema objects and deterministic query results,canonical_write,dispatcher_gate|policy_gate|U->Pi->Commit,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,cypher-shell -u neo4j -p <password> < Neo4j/schema/03_schema_initialization_simple.cypher,cypher-shell -u neo4j -p <password> < Neo4j/schema/03_schema_initialization_simple.cypher,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,2026-02-18
neo4j_schema_04_temporal_bbox_queries_cypher,schema_cypher,Neo4j/schema/04_temporal_bbox_queries.cypher,active,canonical,Pi,Pi;SCA;SFA,temporal;schema,"Use for schema bootstrap, migration, or deterministic graph checks.",Neo4j graph state,Schema objects and deterministic query results,canonical_write,dispatcher_gate|policy_gate|U->Pi->Commit,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,cypher-shell -u neo4j -p <password> < Neo4j/schema/04_temporal_bbox_queries.cypher,cypher-shell -u neo4j -p <password> < Neo4j/schema/04_temporal_bbox_queries.cypher,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,2026-02-18
neo4j_schema_05_temporal_hierarchy_levels_cypher,schema_cypher,Neo4j/schema/05_temporal_hierarchy_levels.cypher,active,canonical,Pi,Pi;SCA;SFA,temporal;schema,"Use for schema bootstrap, migration, or deterministic graph checks.",Neo4j graph state,Schema objects and deterministic query results,canonical_write,dispatcher_gate|policy_gate|U->Pi->Commit,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,cypher-shell -u neo4j -p <password> < Neo4j/schema/05_temporal_hierarchy_levels.cypher,cypher-shell -u neo4j -p <password> < Neo4j/schema/05_temporal_hierarchy_levels.cypher,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,2026-02-18
neo4j_schema_06_bootstrap_validation_runner_cypher,schema_cypher,Neo4j/schema/06_bootstrap_validation_runner.cypher,active,canonical,Pi,Pi;SCA;SFA,schema,"Use for schema bootstrap, migration, or deterministic graph checks.",Neo4j graph state,Schema objects and deterministic query results,canonical_write,dispatcher_gate|policy_gate|U->Pi->Commit,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,cypher-shell -u neo4j -p <password> < Neo4j/schema/06_bootstrap_validation_runner.cypher,cypher-shell -u neo4j -p <password> < Neo4j/schema/06_bootstrap_validation_runner.cypher,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,2026-02-18
neo4j_schema_06_meta_schema_graph_cypher,schema_cypher,Neo4j/schema/06_meta_schema_graph.cypher,active,canonical,Pi,Pi;SCA;SFA,schema,"Use for schema bootstrap, migration, or deterministic graph checks.",Neo4j graph state,Schema objects and deterministic query results,canonical_write,dispatcher_gate|policy_gate|U->Pi->Commit,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,cypher-shell -u neo4j -p <password> < Neo4j/schema/06_meta_schema_graph.cypher,cypher-shell -u neo4j -p <password> < Neo4j/schema/06_meta_schema_graph.cypher,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,2026-02-18
neo4j_schema_07_core_pipeline_schema_cypher,schema_cypher,Neo4j/schema/07_core_pipeline_schema.cypher,active,canonical,Pi,Pi;SCA;SFA,schema,"Use for schema bootstrap, migration, or deterministic graph checks.",Neo4j graph state,Schema objects and deterministic query results,canonical_write,dispatcher_gate|policy_gate|U->Pi->Commit,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,cypher-shell -u neo4j -p <password> < Neo4j/schema/07_core_pipeline_schema.cypher,cypher-shell -u neo4j -p <password> < Neo4j/schema/07_core_pipeline_schema.cypher,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,2026-02-18
neo4j_schema_08_core_pipeline_validation_runner_cypher,schema_cypher,Neo4j/schema/08_core_pipeline_validation_runner.cypher,active,canonical,Pi,Pi;SCA;SFA,schema,"Use for schema bootstrap, migration, or deterministic graph checks.",Neo4j graph state,Schema objects and deterministic query results,canonical_write,dispatcher_gate|policy_gate|U->Pi->Commit,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,cypher-shell -u neo4j -p <password> < Neo4j/schema/08_core_pipeline_validation_runner.cypher,cypher-shell -u neo4j -p <password> < Neo4j/schema/08_core_pipeline_validation_runner.cypher,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,2026-02-18
neo4j_schema_08_core_pipeline_validation_runner_py,script,Neo4j/schema/08_core_pipeline_validation_runner.py,active,legacy_reference,Pi,Pi;SCA;SFA,schema,Use as supporting project artifact.,CLI args + files + env,Generated artifacts and/or graph mutations,canonical_write,dispatcher_gate|policy_gate|U->Pi->Commit,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,python Neo4j/schema/08_core_pipeline_validation_runner.py,python Neo4j/schema/08_core_pipeline_validation_runner.py --help,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,2026-02-18
neo4j_schema_09_core_pipeline_pilot_seed_cypher,schema_cypher,Neo4j/schema/09_core_pipeline_pilot_seed.cypher,active,canonical,Pi,Pi;SCA;SFA,schema,"Use for schema bootstrap, migration, or deterministic graph checks.",Neo4j graph state,Schema objects and deterministic query results,canonical_write,dispatcher_gate|policy_gate|U->Pi->Commit,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,cypher-shell -u neo4j -p <password> < Neo4j/schema/09_core_pipeline_pilot_seed.cypher,cypher-shell -u neo4j -p <password> < Neo4j/schema/09_core_pipeline_pilot_seed.cypher,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,2026-02-18
neo4j_schema_10_core_pipeline_pilot_verify_cypher,schema_cypher,Neo4j/schema/10_core_pipeline_pilot_verify.cypher,active,canonical,Pi,Pi;SCA;SFA,schema,"Use for schema bootstrap, migration, or deterministic graph checks.",Neo4j graph state,Schema objects and deterministic query results,canonical_write,dispatcher_gate|policy_gate|U->Pi->Commit,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,cypher-shell -u neo4j -p <password> < Neo4j/schema/10_core_pipeline_pilot_verify.cypher,cypher-shell -u neo4j -p <password> < Neo4j/schema/10_core_pipeline_pilot_verify.cypher,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,2026-02-18
neo4j_schema_11_event_period_claim_seed_cypher,schema_cypher,Neo4j/schema/11_event_period_claim_seed.cypher,active,canonical,Pi,Pi;SCA;SFA,claims;temporal;schema,"Use for schema bootstrap, migration, or deterministic graph checks.",Neo4j graph state,Schema objects and deterministic query results,canonical_write,dispatcher_gate|policy_gate|U->Pi->Commit,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,cypher-shell -u neo4j -p <password> < Neo4j/schema/11_event_period_claim_seed.cypher,cypher-shell -u neo4j -p <password> < Neo4j/schema/11_event_period_claim_seed.cypher,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,2026-02-18
neo4j_schema_12_event_period_claim_verify_cypher,schema_cypher,Neo4j/schema/12_event_period_claim_verify.cypher,active,canonical,Pi,Pi;SCA;SFA,claims;temporal;schema,"Use for schema bootstrap, migration, or deterministic graph checks.",Neo4j graph state,Schema objects and deterministic query results,canonical_write,dispatcher_gate|policy_gate|U->Pi->Commit,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,cypher-shell -u neo4j -p <password> < Neo4j/schema/12_event_period_claim_verify.cypher,cypher-shell -u neo4j -p <password> < Neo4j/schema/12_event_period_claim_verify.cypher,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,2026-02-18
neo4j_schema_13_claim_label_backfill_cypher,schema_cypher,Neo4j/schema/13_claim_label_backfill.cypher,active,canonical,Pi,Pi;SCA;SFA,claims;schema,"Use for schema bootstrap, migration, or deterministic graph checks.",Neo4j graph state,Schema objects and deterministic query results,canonical_write,dispatcher_gate|policy_gate|U->Pi->Commit,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,cypher-shell -u neo4j -p <password> < Neo4j/schema/13_claim_label_backfill.cypher,cypher-shell -u neo4j -p <password> < Neo4j/schema/13_claim_label_backfill.cypher,md/Architecture/ARCHITECTURE_IMPLEMENTATION_INDEX.md,2026-02-18
