token,qid,label,description,aliases,all_qids,all_labels,all_descriptions,confidence,rank,instanceOf_qid,instanceOf_label,subclassOf_qid,subclassOf_label,partOf_qid,partOf_label
Algiers,Q3561,Algiers,capital city of Algeria,,Q141026;Q1414527;Q16800436;Q19954293;Q3095611;Q3561;Q37545059;Q4724224;Q4724226;Q59538972,Algiers;Algiers Province,"1938 film directed by John Cromwell;Calexico album;Railway stations in Algeria;album by Algiers;capital city of Algeria;community within the city of New Orleans, Louisiana, United States;family name;human settlement in United States of America;painting by James Wilson Morrice;province of Algeria",1.0,"{'type': 'label', 'language': 'en', 'text': 'Algiers'}","Q486972,Q515","city,human settlement",,,Q14201492,Central Algeria
Altai region,Q60169103,Altai,"geographical region located in the south of Siberia and in Central Asia in the territories of Russia, Kazakhstan, China, and Mongolia",Altai region,Q24930254;Q4062940;Q60169103,Altai;Altai Regional Drama Theatre;Altai Regional Universal Scientific Library named after. V.Ya. Shishkova,"geographical region located in the south of Siberia and in Central Asia in the territories of Russia, Kazakhstan, China, and Mongolia;library;theater in Barnaul, Altai Krai, Russia",0.95,"{'type': 'alias', 'language': 'en', 'text': 'Altai region'}",Q82794,region,,,,
Amber district,Q56364485,Amber District,"district in Khuzestan province, Iran",,Q56364485,Amber District,"district in Khuzestan province, Iran",1.0,"{'type': 'label', 'language': 'en', 'text': 'Amber District'}",Q11353,district of Iran,,,,
America,Q30,United States,country located primarily in North America,America,Q126852;Q15885537;Q16525858;Q169889;Q20824348;Q30;Q338285;Q4744260;Q7976;Q828,America;American Broadcasting Company;American English;American Journal of Biological Anthropology;American National Biography Online;Americas;América Futebol Clube;United States,"American broadcast television network owned by The Walt Disney Company;British-American rock band;North America and South America taken together as a single continent or landmass;country located primarily in North America;female given name;genus of insects;online version of the American National Biography;scientific journal;set of dialects of the English language spoken in the United States;traditional Brazilian football team from Belo Horizonte, Minas Gerais",0.95,"{'type': 'alias', 'language': 'en', 'text': 'America'}","Q1489259,Q1520223,Q3624078,Q512187,Q5255892,Q6256","constitutional republic,country,democratic republic,federal republic,sovereign state,superpower",,,Q49,North America
America. England. France. Spain and Portugal. Germany. Italy. Ottoman Empire. The World,,,,,,,,0.0,,,,,,,
America. England. France. Spain and Portugal. Germany. The World,,,,,,,,0.0,,,,,,,
Anatolia,Q20678374,Anatolia,given name,Anatolia;Anatolian Peninsula;Anatolian Turkish,Q12824780;Q15716765;Q15749144;Q15758580;Q15762302;Q20678374;Q256;Q3615108;Q51614;Q754299,Anatolia;Anatolia antiqua. Eski Anadolu;Anatolian Journal of Cardiology;Anatolian Studies;Anatólia;Asia Minor;Saint Anatolia;Turkish,Asian part of Turkey;Christian saint martyred in 250;Oghuz Turkic language of the Turkish people;academic journal;female given name;given name;journal;peninsula in Western Asia,1.0,"{'type': 'label', 'language': 'en', 'text': 'Anatolia'}",Q11879590,female given name,,,,
Ancient Egypt,Q11768,Ancient Egypt,Egyptian civilization from the 31st century BC to the 1st century BC,Ancient Egyptian hieroglyphs;Ancient Egyptian mythology;ancient Egypt art;ancient Egypt history;ancient Egyptian language;ancient Egyptian religion,Q113488859;Q11768;Q132659;Q146083;Q19041703;Q205740;Q318394;Q447131;Q50868;Q766876,Ancient Egypt;Ancient Egyptian deity;Egyptian;Egyptian hieroglyphs;Egyptian mythology;art of ancient Egypt;history of ancient Egypt;religion of ancient Egypt,Egyptian civilization from the 31st century BC to the 1st century BC;art produced by the ancient Egyptian civilization;aspect of history;book by David P. Silverman;book by George Rawlinson;deities in the Ancient Egyption religion;extinct language spoken in ancient Egypt;formal writing system used by the ancient Egyptians;myths of the Ancient Egyptians;system of polytheistic beliefs and rituals of ancient Egyptian,1.0,"{'type': 'label', 'language': 'en', 'text': 'Ancient Egypt'}","Q1620908,Q28171280,Q3024240,Q3502482","ancient civilization,cultural region,historical country,historical region",,,Q136386525,Ancient North Africa
Ancient Greece,Q11772,Ancient Greece,Greek civilization from 1200 BC to 600 AD,ancient Greece education;ancient Greece history;ancient Greece music,Q1040847;Q104538395;Q1139787;Q117705434;Q117705450;Q117705475;Q11772;Q123372878;Q136233388;Q7798,Ancient Greece;education in ancient Greece;history of ancient Greece;music of ancient Greece,1952 film produced by David A. Smart;1993 edition of work by Loverance amd Wood;1996 edition of work by Loverance and Wood translated to Irish;Greek civilization from 1200 BC to 600 AD;academic chapter;book 2013;history of ancient Greece;musical traditions of ancient Greece;overview of education in ancient Greece;work by Loverance and Wood first published in 1992,1.0,"{'type': 'label', 'language': 'en', 'text': 'Ancient Greece'}","Q11042,Q11514315,Q1620908,Q1792644,Q28171280,Q3502482","ancient civilization,art style,cultural region,culture,historical period,historical region",,,Q7794,history of Greece
Ancient Mesopotamia,Q11767,Mesopotamia,historical region within the Tigris–Euphrates river system,Ancient Mesopotamia;Ancient Mesopotamian music;ancient Mesopotamia,Q108559043;Q11767;Q119247819;Q21028568;Q3631579;Q56096095;Q59176679;Q6436745;Q6942178;Q784094,"Ancient Mesopotamia at the Dawn of Civilization;Ancient Mesopotamian Gardens and the Identification of the Hanging Gardens of Babylon Resolved;Ancient Mesopotamian Materials and Industries: the Archaeological Evidence. By P. R. S. Moorey. 290mm. Pp. xxiii + 414, ills. Oxford: Clarendon Press, 1994. ISBN 0-19-814921-2. £65.00;Ancient Mesopotamian religion;Ancient Mesopotamian underworld;Ancient Mesopotamian units of measurement;Mesopotamia;Template:Ancient Mesopotamia topics;ancient Mesopotamia;music of Mesopotamia",;Wikimedia template;ancient historical region comprising modern-day Iraq;article;historical region within the Tigris–Euphrates river system;musical history of the Tigris-Euphrates basin;religion;underworld in Sumerian culture,0.95,"{'type': 'alias', 'language': 'en', 'text': 'ancient Mesopotamia'}","Q1129474,Q1620908,Q28171280,Q3502482","ancient civilization,cultural landscape,cultural region,historical region",,,,
Ancient Rome,Q1747689,Ancient Rome,country that began growing on the Italian Peninsula from the 8th century BC,Ancient Rome plebiscite;ancient Rome;ancient Rome culture;ancient Rome history,Q115494716;Q1200427;Q1214249;Q14619160;Q14619165;Q1747689;Q18287233;Q27445638;Q77239880;Q830852,Ancient Rome;Roma;culture of ancient Rome;history of ancient Rome;plebiscite,"aspect of history;capital city and origin of ancient Rome;country that began growing on the Italian Peninsula from the 8th century BC;engraving by H. Willmore after William Turner;painting by Giovanni Paolo Panini (Metropolitan Museum of Art version);painting by Giovanni Paolo Panini, Staatsgallerie de Stuttgart;pattern of human activity and symbolism associated with ancient Rome and its people;referendum, particularly in ancient Rome;short story by Kyle Mccarthy;version of Ancient Rome painting by Panini held by the Louvre",1.0,"{'type': 'label', 'language': 'en', 'text': 'Ancient Rome'}",Q3024240,historical country,"Q120754777,Q465299","Roman civilization,archaeological culture",Q120754777,Roman civilization
Andorra,Q228,Andorra,"sovereign microstate between France and Spain, in Western Europe",Andorra,Q104592922;Q177334;Q180798;Q1863;Q228;Q24003627;Q492533;Q56086101;Q568541;Q7130777,Andorra;Andorra la Vella;Andorra men's national football team;Category:Andorra,"2007 studio album by Caribou (Dan Snaith);Wikimedia category;capital of Andorra;family name;female horse b. 1994;men's national association football team representing Andorra;play by Max Frisch;population nucleus in Andorra, Spain;sovereign microstate between France and Spain, in Western Europe;town in Teruel, Spain",1.0,"{'type': 'label', 'language': 'en', 'text': 'Andorra'}","Q3624078,Q6256","country,sovereign state",,,Q234963,Catalan countries
Angola,Q916,Angola,country on the west coast of Southern Africa,"Angola;Angola, Louisiana",Q108566441;Q116421;Q1650708;Q1732216;Q1843821;Q192828;Q24646;Q2826232;Q59311210;Q916,1712 Angola;Angola;Angola men's national football team;Louisiana State Penitentiary;Portuguese Angola;Steuben County,"1575-1975 Portuguese possession in West Africa;Candomblé nation;asteroid;city in Indiana, United States;country on the west coast of Southern Africa;county in Indiana, United States;national association football team;painting by Luc Peire (FRB 0234);state prison in West Feliciana Parish, Louisiana, USA;village in Erie County, New York, United States",1.0,"{'type': 'label', 'language': 'en', 'text': 'Angola'}","Q3624078,Q6256","country,sovereign state",,,"Q1360686,Q27394,Q27433","Central Africa,Portuguese-speaking African countries,Southern Africa"
Anguilla,Q25228,Anguilla,British overseas territory in the Caribbean,Anguilla anguilla;Anguilla australis;Anguilla marmorata;Anguilla rostrata,Q1140081;Q1329808;Q241693;Q25228;Q26387;Q2711492;Q469632;Q496154;Q892660;Q9154612,American eel;Anguilla;Anguilla bicolor;Anguilla japonica;Anguillara Sabazia;European eel;marbled eel;short-finned eel,"British overseas territory in the Caribbean;Italian comune;genus of fishes;species of eel;species of fish;town in Sharkey County, Mississippi",1.0,"{'type': 'label', 'language': 'en', 'text': 'Anguilla'}",Q46395,British overseas territory,,,"Q183416,Q29971,Q664609,Q93259","Caribbean,Leeward Islands,Lesser Antilles,Windward Islands"
Antigua and Barbuda,Q781,Antigua and Barbuda,island sovereign state in the Caribbean Sea,Antigua and Barbuda COVID-19 pandemic;Antigua and Barbuda Creole English,Q107360272;Q1277738;Q16538040;Q24733669;Q267972;Q3244184;Q756907;Q772266;Q781;Q87708331,2020 COVID-19 pandemic in Antigua and Barbuda;Antigua and Barbuda;Antigua and Barbuda Cycling Federation;Antigua and Barbuda Labour Party;Antigua and Barbuda National Road Cycling Championships - Men RR;Antigua and Barbuda Premier Division;Antigua and Barbuda at the Olympics;Antigua and Barbuda men's national football team;Antigua and Barbuda national road cycling championships;Antiguan and Barbudan Creole,;English-based creole language in Antigua and Barbuda;association football league;country entered in olympic games;governing body for cycling sport in Antigua and Barbuda;island sovereign state in the Caribbean Sea;men's national association football team representing Antigua and Barbuda;political party;viral pandemic in Antigua and Barbuda,1.0,"{'type': 'label', 'language': 'en', 'text': 'Antigua and Barbuda'}","Q112099,Q11815167,Q202686,Q3244203,Q3624078,Q6256","Commonwealth realm,archipelagic state,country,island country,monarchy of Antigua and Barbuda,sovereign state",,,"Q664609,Q7785,Q93259","Caribbean,Commonwealth of Nations,Lesser Antilles"
Antilles,Q166131,Antilles,archipelago bordering the north and east of the Caribbean Sea,,Q102352054;Q102352991;Q103927484;Q166131;Q18091700;Q2342538;Q2934321;Q4774898;Q577367;Q6556785,Antilles;Antilles Current;Antillesia;Antillesia cardisomae;Antillesoma;Antillesoma antillarum;Antillesoma mexicanum;Antillesomatidae,Family of Sipuncula;US record label; imprint of Antilles Communications Ltd.;archipelago bordering the north and east of the Caribbean Sea;genus of crustaceans;genus of worms;highly variable surface ocean current of warm water that flows northeasterly past the island chain that separates the Caribbean Sea and the Atlantic Ocean;shipwreck off the Scottish coast;species of Sipuncula;species of crustacean;species of worm,1.0,"{'type': 'label', 'language': 'en', 'text': 'Antilles'}","Q16887380,Q33837,Q82794","archipelago,group,region",,,Q664609,Caribbean
Antioquia (Colombia,,,,,,,,0.0,,,,,,,
Arab Countries,Q143487,Arab world,"geographic and cultural region; collective term for the Arabic-speaking countries of Asia and Africa, or of Asia only",Arab countries,Q127231241;Q127340535;Q129048836;Q129551008;Q143487,"ARAB COUNTRIES : ACHIEVEMENTS , CHALLENGES AND CRUCIAL FACTORS O F ECONOMIC DEVELOPMENT;ARAB COUNTRIES WANT TO TRACK RUSSIAN OIL FLOWS;Arab Countries in Transition - An Update on Economic Outlook and Key Challenges;Arab Countries in Transition - Economic Outlook and Key Challenges - Deauville Partnership Ministerial Meeting;Arab world","geographic and cultural region; collective term for the Arabic-speaking countries of Asia and Africa, or of Asia only;scholarly article",0.95,"{'type': 'alias', 'language': 'en', 'text': 'Arab countries'}","Q1149061,Q137186904,Q137432293,Q3502482,Q52110228","cultural region,geographic term,geopolitical group,language area,transcontinental region",,,,
Arabia,Q107282298,Arabia,genus of molluscs,Arabia Standard Time;Arabian;Arabian Gulf;Arabian world,Q107282298;Q13955;Q143487;Q200849;Q221353;Q23406;Q2655652;Q31945;Q34675;Q6760,Arab world;Arabia;Arabia Petraea;Arabian Peninsula;Arabianranta;Arabic;Persian Gulf;Red Sea;UTC+03:00,"Roman province (106–630s);Semitic language and lingua franca of the Arab world;extension of the Indian Ocean;genus of molluscs;geographic and cultural region; collective term for the Arabic-speaking countries of Asia and Africa, or of Asia only;identifier for a time offset from UTC of +3;peninsula in Western Asia;quarter in Toukola, Helsinki, Finland;seawater inlet of the Indian Ocean;titular see",1.0,"{'type': 'label', 'language': 'en', 'text': 'Arabia'}",Q16521,taxon,,,,
Arad County,Q179559,Arad County,county in Romania,Arad County COVID-19 pandemic,Q104720253;Q179559;Q253609;Q2547413;Q4783606;Q53067211;Q81181634;Q89484733;Q89588510,Arad County;Arad County Branch of National Archives;Arad County Clinical Hospital;Arad County Council;Arad County Museum;Arad County councillor;COVID-19 pandemic in Arad County,";Kingdom of Romania;archival institution in Romania;county in Romania;county of the Kingdom of Hungary;elected assembly of Arad County, Romania;hospital in Romania;museum in Romania",1.0,"{'type': 'label', 'language': 'en', 'text': 'Arad County'}",Q1776764,county of Romania,,,,
Aragon,Q625115,Aragon,"commune in Aude, France",Aragon,Q1147071;Q15025559;Q199442;Q20357;Q204920;Q4040;Q4128;Q48688573;Q625115;Q8765,Aragon;Aragonese;Aragonese Wikipedia;Aragón;Crown of Aragon;Kingdom of Aragon;Louis Aragon;Royal sign of Aragon,"Aragonese-language edition of Wikipedia;French poet (1897–1982);Or, four pallets Gules;Romance language;autonomous community in Spain;commune in Aude, France;composite monarchy which existed between 1162–1716;family name;medieval and early modern kingdom in the Iberian Peninsula (1035-1707);river in Spain",1.0,"{'type': 'label', 'language': 'en', 'text': 'Aragon'}",Q484170,commune of France,,,,
Aragon (Spain,,,,,,,,0.0,,,,,,,
Arezzo,Q13378,Arezzo,Italian comune,Arezzo Sports Society;Arezzo province,Q13378;Q136055040;Q16115;Q18456217;Q19991649;Q2263308;Q297430;Q3743293;Q3968902;Q47458898,Arezzo;Arezzo (Pauly-Wissowa);Arezzo Cathedral;Arezzo railway station;Arezzo–Fossato di Vico railway;Province of Arezzo;S.S. Arezzo,"Italian comune;association football club based in Arezzo, Italy;church building in Arezzo, Italy;encyclopedic article in Paulys Realencyclopädie der classischen Altertumswissenschaft (RE);family name;human settlement in Italy, hamlet of Spoleto;province of Italy;railway line in Italy;settlement in Vobbia, Italy;train station in Italy",1.0,"{'type': 'label', 'language': 'en', 'text': 'Arezzo'}","Q4115680,Q747074","Italian city-state,commune of Italy",,,,
Arezzo (Italy,,,,,,,,0.0,,,,,,,
Argentina,Q414,Argentina,country in South America,Argentina,Q10573041;Q21196329;Q2183754;Q3622264;Q37498453;Q414;Q4789276;Q646070;Q79800;Q83645577,Argentina;Argentina men's national association football team;Argentina national rugby union team;Enchanted Isle,country in South America;family name;female given name;genus of fishes;genus of plants;men's national association football team representing Argentina;national sports team;scrapped passenger ship;ship built in 1935;ship built in 1949,1.0,"{'type': 'label', 'language': 'en', 'text': 'Argentina'}","Q10551526,Q3624078,Q512187,Q6256,Q6266","confessional state,country,federal republic,nation,sovereign state",,,"Q12585,Q18,Q236118","Latin America,South America,Southern Cone"
Argeș (Romania : Județ,,,,,,,,0.0,,,,,,,
Argeș County,Q179567,Argeș County,county in Romania,Argeș County COVID-19 pandemic,Q104720254;Q179567;Q18544242;Q3272617;Q81181636;Q89484735;Q89588512,Arges County Branch of National Archives;Argeș County;Argeș County Council;Argeș County Museum;Argeș County councillor;COVID-19 pandemic in Argeș County,";Kingdom of Romania;archival institution in Romania;county in Romania;elected assembly of Argeș County, Romania;heritage site in Argeș County, Romania",1.0,"{'type': 'label', 'language': 'en', 'text': 'Argeș County'}",Q1776764,county of Romania,,,,
Arizona,Q816,Arizona,state of the United States of America,Arizona;Arizona elegans,Q14089080;Q224164;Q2254748;Q27709195;Q503419;Q56037114;Q670897;Q670937;Q816;Q94174917,Arizona;Arizona Cardinals;Arizona State University;Arizona medicine;Glossy snake;University of Arizona,"1985 video game;National Football League franchise in Glendale, Arizona;genus of reptiles;journal;municipality in Atlántida Department, Honduras;public university in Tempe, Arizona, US;public university in Tucson, Arizona, United States;species of reptile;state of the United States of America;unisex given name",1.0,"{'type': 'label', 'language': 'en', 'text': 'Arizona'}",Q35657,U.S. state,,,"Q578170,Q858847","Southwestern United States,contiguous United States"
Arkansas,Q1612,Arkansas,state of the United States of America,Arkansas;Arkansas Historical Quarterly,Q1070333;Q1612;Q37496868;Q3866524;Q500131;Q61414;Q672700;Q672913;Q7714256;Q8319,Arkansas;Arkansas County;Arkansas Post;Arkansas Razorbacks men's basketball;Arkansas River;Arkansas State University;Arkansas Territory;The Arkansas Historical Quarterly;University of Arkansas,"NCAA Division I men's basketball team;academic journal;county in Arkansas, United States;family name;historic site in Arkansas, United States;major tributary of the Mississippi River, United States;public research university in Fayetteville, Arkansas, USA;public university in Arkansas, United States;state of the United States of America;territory of the United States from 1819 to 1836",1.0,"{'type': 'label', 'language': 'en', 'text': 'Arkansas'}",Q35657,U.S. state,,,Q578170,contiguous United States
Armenia,Q399,Armenia,sovereign state in the South Caucasus region of Eurasia,Armenia;Armenian stone cross,Q139670;Q1975217;Q2657718;Q328518;Q37182918;Q399;Q654476;Q79797;Q8785;Q934767,Armenia;Armenian;Armenian Soviet Encyclopedia;Armenian Wikipedia;Armenians;First Republic of Armenia;khachkar,"Armenian state existing from 1918–1920;Armenian-language edition of Wikipedia;Colombian municipality of the department of Antioquia;Indo-European language;capital of the Colombian department of Quindío;carved, memorial stele bearing a cross, Armenian symbol;ethnic group native to the Armenian Highlands;family name;first general encyclopedia in Armenian language;sovereign state in the South Caucasus region of Eurasia",1.0,"{'type': 'label', 'language': 'en', 'text': 'Armenia'}","Q3624078,Q6256","country,sovereign state",,,"Q27293,Q27468","Eastern Europe,West Asia"
Armenian Kingdom of Cilicia,Q335088,Armenian Kingdom of Cilicia,Armenian Middle Ages state (1080–1375),,Q335088,Armenian Kingdom of Cilicia,Armenian Middle Ages state (1080–1375),1.0,"{'type': 'label', 'language': 'en', 'text': 'Armenian Kingdom of Cilicia'}",Q3024240,historical country,,,,
Aruba,Q21203,Aruba,Caribbean island constituent country of the Kingdom of the Netherlands,Aruba;Aruba Shoals,Q109496360;Q21203;Q25016263;Q26231133;Q30907208;Q31884901;Q3624634;Q459101;Q4801996;Q61449930,Aruba;Aruba men's national football team;Arubaconus;Gosong Aruba;Marios K,;2006 film by Hubert Davis;Caribbean island constituent country of the Kingdom of the Netherlands;Italian registrar and Web hosting company;Japanese family name (有賀);episode of Legends of Tomorrow (S2 E17);genus of molluscs;main island in Aruba;national association football team;ship built in 1969,1.0,"{'type': 'label', 'language': 'en', 'text': 'Aruba'}","Q107390,Q112099,Q15304003,Q6256","country,country of the Kingdom of the Netherlands,federated state,island country",,,"Q25227,Q5317255,Q66458647,Q664609,Q93259,Q98831459","CAS countries,Caribbean,Dutch Caribbean,European Union tax haven blacklist,Lesser Antilles,Netherlands Antilles"
