pid,propertyLabel,propertyDescription,datatype,occurrences,file_count,sample_files,in_catalog
P18,image,"image of relevant illustration of the subject; if available, also use more specific properties (sample: coat of arms image, locator map, flag image, signature image, logo image, collage image)",commonsMedia,19,3,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv | Relationships\wikidata_p_api_candidates_2026-02-13.csv,yes
P19,place of birth,"most specific known birth location of a person, animal or fictional character",wikibase-item,20,12,JSON\chrystallum_schema.json | Key Files\2-12-26 Chrystallum Architecture - CONSOLIDATED.md | Relationships\relationship_types_registry_master.csv | Relationships\relationship_types_registry_master.pre_mapping_sync_2026-02-13.csv | Relationships\relationship_types_registry_master.pre_property_catalog_enrichment_2026-02-13.csv,yes
P20,place of death,"most specific known (e.g. city instead of country, or hospital instead of city) death location of a person, animal or fictional character",wikibase-item,18,11,JSON\chrystallum_schema.json | Key Files\2-12-26 Chrystallum Architecture - CONSOLIDATED.md | Relationships\relationship_types_registry_master.csv | Relationships\relationship_types_registry_master.pre_mapping_sync_2026-02-13.csv | Relationships\relationship_types_registry_master.pre_property_catalog_enrichment_2026-02-13.csv,yes
P21,sex or gender,"sex or gender identity of human or animal. For human: male, female, non-binary, intersex, transgender female, transgender male, agender, etc. For animal: male organism, female organism. Groups of same gender use subclass of (P279)",wikibase-item,1,1,md\Architecture\Wikidata_SPARQL_Patterns.md,yes
P22,father,"male parent of the subject. For stepfather, use ""stepparent"" (P3448)",wikibase-item,51,4,FAST\FASTTopical.marcxml | Key Files\2-12-26 Chrystallum Architecture - CONSOLIDATED.md | Python\fast\key\FASTTopical_parsed.csv | Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P23,,,,33,7,FAST\FASTTopical.marcxml | LCSH\skos_subjects\chunks\subjects_chunk_20.jsonld | LCSH\skos_subjects\concepts_only.jsonld | LCSH\skos_subjects\subjects.skosrdf.jsonld | LCSH\skos_subjects\subjects_full_valid.jsonld,no
P24,,,,18,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P25,mother,"female parent of the subject. For stepmother, use ""stepparent"" (P3448)",wikibase-item,84,3,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv | Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P26,spouse,"the subject has the object as their spouse (husband, wife, partner, etc.). Use ""unmarried partner"" (P451) for non-married companions",wikibase-item,35,10,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | FAST\FASTTopical.marcxml | Key Files\2-12-26 Chrystallum Architecture - CONSOLIDATED.md | Python\fast\key\FASTTopical_parsed.csv,yes
P27,country of citizenship,the object is a country that recognizes the subject as its citizen,wikibase-item,36,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P28,,,,65,7,FAST\FASTTopical.marcxml | LCSH\skos_subjects\chunks\subjects_chunk_15.jsonld | LCSH\skos_subjects\concepts_only.jsonld | LCSH\skos_subjects\subjects.skosrdf.jsonld | LCSH\skos_subjects\subjects_full_valid.jsonld,no
P29,,,,18,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P31,instance of,type to which this subject corresponds/belongs. Different from P279 (subclass of); for example: K2 is an instance of mountain; volcano is a subclass of mountain,wikibase-item,136,35,2-12-26-wikidata journals.md | ARCHITECTURE_IMPLEMENTATION_INDEX.md | CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | Key Files\2-12-26 Chrystallum Architecture - CONSOLIDATED.md,yes
P32,,,,24,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P33,,,,54,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P34,,,,66,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P35,head of state,official with the highest formal authority in a country/state,wikibase-item,104,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P36,capital,"seat of government of a country, province, state or other type of administrative territorial entity",wikibase-item,52,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P37,official language,language designated as official by this item,wikibase-item,196,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P38,currency,currency used by item,wikibase-item,46,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P39,position held,subject currently or formerly holds the object position or public office,wikibase-item,98,17,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | FAST\FASTTopical.marcxml | JSON\chrystallum_schema.json | Key Files\2-12-26 Chrystallum Architecture - CONSOLIDATED.md,yes
P40,child,"subject has object as child. Do not use for stepchildren—use ""relative"" (P1038), qualified with ""kinship to subject"" (P1039)",wikibase-item,44,9,FAST\FASTTopical.marcxml | Key Files\2-12-26 Chrystallum Architecture - CONSOLIDATED.md | Python\fast\key\FASTTopical_parsed.csv | Relationships\relationship_types_registry_master.csv | Relationships\relationship_types_registry_master.pre_property_catalog_enrichment_2026-02-13.csv,yes
P41,flag image,image of the item's flag,commonsMedia,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P42,,,,38,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P43,,,,62,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P44,,,,62,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P45,,,,232,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P46,,,,80,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P47,shares border with,"countries or administrative subdivisions, of equal level, that this item borders, either by land or water. A single common point is enough.",wikibase-item,152,3,FAST\FASTTopical.marcxml | Key Files\2-12-26 Chrystallum Architecture - CONSOLIDATED.md | Python\fast\key\FASTTopical_parsed.csv,yes
P48,,,,176,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P49,,,,30,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P50,author,"main creator(s) of a written work (use on works, not humans); use P2093 (author name string) when Wikidata item is unknown or does not exist",wikibase-item,21,12,JSON\chrystallum_schema.json | Key Files\2-12-26 Chrystallum Architecture - CONSOLIDATED.md | Relationships\relationship_types_registry_master.csv | Relationships\relationship_types_registry_master.pre_mapping_sync_2026-02-13.csv | Relationships\relationship_types_registry_master.pre_property_catalog_enrichment_2026-02-13.csv,yes
P51,audio,"relevant sound. If available, use a more specific property. Samples: ""spoken text audio"" (P989), ""pronunciation audio"" (P443)",commonsMedia,3,3,FAST\FASTTopical.marcxml | Geographic\TERM.out | Python\fast\key\FASTTopical_parsed.csv,yes
P52,,,,48,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P53,family,"family, including dynasty and nobility houses. Not family name (use P734 for family name).",wikibase-item,182,15,FAST\FASTTopical.marcxml | LCSH\skos_subjects\chunks\subjects_chunk_18.jsonld | LCSH\skos_subjects\chunks\subjects_chunk_3.jsonld | LCSH\skos_subjects\chunks\subjects_chunk_48.jsonld | LCSH\skos_subjects\concepts_only.jsonld,yes
P54,member of sports team,sports teams or clubs that the subject represents or represented,wikibase-item,51,3,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv | Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P55,,,,120,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P56,,,,174,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P57,director,"director(s) of film, TV-series, stageplay, video game or similar",wikibase-item,66,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P58,screenwriter,person(s) who wrote the script for subject item,wikibase-item,98,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P59,constellation,"the area of the celestial sphere of which the subject is a part (from a scientific standpoint, not an astrological one)",wikibase-item,36,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P60,,,,6,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P61,discoverer or inventor,"subject who discovered, first described, invented, or developed this discovery or invention or scientific hypothesis or theory",wikibase-item,16,9,JSON\chrystallum_schema.json | Relationships\relationship_types_registry_master.csv | Relationships\relationship_types_registry_master.pre_mapping_sync_2026-02-13.csv | Relationships\relationship_types_registry_master.pre_property_catalog_enrichment_2026-02-13.csv | Relationships\relationship_types_registry_master.pre_pvalue_curation2_2026-02-13.csv,yes
P62,,,,36,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P63,,,,132,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P64,,,,210,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P65,site of astronomical discovery,"the place where an astronomical object was discovered (observatory, satellite)",wikibase-item,98,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P66,ancestral home,place of origin for ancestors of subject,wikibase-item,285,3,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv | Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P67,,,,96,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P68,,,,64,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P69,educated at,educational institution attended by subject,wikibase-item,18,3,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv | Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P72,,,,34,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P73,,,,130,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P74,,,,110,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P75,,,,132,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P76,,,,104,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P77,,,,116,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P78,top-level Internet domain,Internet domain name system top-level code,wikibase-item,152,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P79,,,,24,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P81,connecting line,railway line(s) subject is directly connected to,wikibase-item,3,3,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv | Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P82,,,,18,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P83,,,,90,7,FAST\FASTTopical.marcxml | LCSH\skos_subjects\chunks\subjects_chunk_6.jsonld | LCSH\skos_subjects\concepts_only.jsonld | LCSH\skos_subjects\subjects.skosrdf.jsonld | LCSH\skos_subjects\subjects_full_valid.jsonld,no
P84,architect,person or architectural firm responsible for designing this building,wikibase-item,73,15,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | FAST\FASTTopical.marcxml | JSON\chrystallum_schema.json | Python\fast\key\FASTTopical_parsed.csv,yes
P85,anthem,subject's official anthem,wikibase-item,94,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P86,composer,"person(s) who wrote the music [for lyricist, use ""lyrics by"" (P676)]",wikibase-item,37,12,FAST\FASTTopical.marcxml | JSON\chrystallum_schema.json | Python\fast\key\FASTTopical_parsed.csv | Relationships\relationship_types_registry_master.csv | Relationships\relationship_types_registry_master.pre_mapping_sync_2026-02-13.csv,yes
P87,librettist,"author of the libretto (words) of an opera, operetta, oratorio or cantata, or of the book of a musical",wikibase-item,41,4,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv | Subjects\LCC\lcc_P_PA_language_backbone.json | Subjects\lcc_flat.csv,yes
P88,commissioned by,person or organization that commissioned this work,wikibase-item,54,5,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv | Relationships\wikidata_p_api_candidates_2026-02-13.csv | Relationships\wikidata_p_api_candidates_medium_rank1_2026-02-13.csv | Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P89,,,,4,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P91,sexual orientation,"the sexual orientation of the person relative to their declared gender — use ONLY IF they have stated it themselves, unambiguously, or it has been widely agreed upon by historians after their death",wikibase-item,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P92,main regulatory text,text setting the main rules by which the subject is regulated,wikibase-item,38,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P93,,,,144,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P94,coat of arms image,image of the item's coat of arms - for the shield part only use P4004,commonsMedia,163,4,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv | Subjects\LCC\lcc_P_PA_language_backbone.json | Subjects\lcc_flat.csv,yes
P95,,,,109,4,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv | Subjects\LCC\lcc_P_PA_language_backbone.json | Subjects\lcc_flat.csv,no
P96,,,,390,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P97,noble title,titles held by the person,wikibase-item,67,3,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv | Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P98,editor,"person who checks and corrects a work (such as a book, newspaper, academic journal, etc.) to comply with a rules of certain genre. Also applies to person who establishes the text of an ancient written work or manuscript.",wikibase-item,42,5,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv | Relationships\wikidata_p_catalog_candidates_2026-02-13.csv | Subjects\LCC\lcc_P_PA_language_backbone.json | Subjects\lcc_flat.csv,yes
P99,,,,20,4,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv | Subjects\LCC\lcc_P_PA_language_backbone.json | Subjects\lcc_flat.csv,no
P101,field of work,specialization of a person or organization; see P106 for the occupation,wikibase-item,33,9,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | Discipline.md | FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P102,member of political party,the political party of which a person is or has been a member or otherwise affiliated,wikibase-item,1,1,md\Architecture\Wikidata_SPARQL_Patterns.md,yes
P103,native language,language or languages a person (or group) has learned from early childhood,wikibase-item,4,3,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P106,occupation,"occupation of a person. See also ""field of work"" (Property:P101), ""position held"" (Property:P39). Not for groups of people. There, use ""field of work"" (Property:P101), ""industry"" (Property:P452), ""members have occupation"" (Property:P3989).",wikibase-item,7,2,Relationships\wikidata_p_api_candidates_2026-02-13.csv | md\Architecture\Wikidata_SPARQL_Patterns.md,yes
P108,employer,person or organization for which the subject works or worked,wikibase-item,1,1,md\Architecture\Wikidata_SPARQL_Patterns.md,yes
P112,founded by,"founder or co-founder of this organization, religion, place or entity",wikibase-item,26,14,ARCHITECTURE_IMPLEMENTATION_INDEX.md | JSON\chrystallum_schema.json | Key Files\2-12-26 Chrystallum Architecture - CONSOLIDATED.md | Neo4j\FEDERATION_BACKLINK_STRATEGY.md | Neo4j\IMPLEMENTATION_ROADMAP.md,yes
P114,airline alliance,alliance the airline belongs to,wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P115,home venue,home stadium or venue of a sports team or performing arts organization,wikibase-item,6,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P116,,,,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P117,chemical structure,image of a representation of the structure for a chemical compound,commonsMedia,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P118,league or competition,"league or competition in which team or player has played, or in which an event occurs",wikibase-item,19,4,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv | Subjects\LCC\lcc_P_PA_language_backbone.json | Subjects\lcc_flat.csv,yes
P119,place of burial,"location of grave, resting place, place of ash-scattering, etc. (e.g., town/city or cemetery) for a person or animal. There may be several places: e.g., re-burials, parts of body buried separately.",wikibase-item,12,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P120,,,,18,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P121,item operated,"equipment, installation or service operated by the subject",wikibase-item,7,4,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv | Subjects\LCC\lcc_P_PA_language_backbone.json | Subjects\lcc_flat.csv,yes
P123,publisher,"organization or person responsible for publishing a work, such as a book, periodical, printed music, podcast, game or software",wikibase-item,3,3,2-12-26-wikidata journals.md | Key Files\2-12-26 Chrystallum Architecture - CONSOLIDATED.md | Prompts\extraction_agent.txt,yes
P127,owned by,owner of the subject,wikibase-item,6,2,Relationships\wikidata_p_api_candidates_2026-02-13.csv | Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P128,regulates (molecular biology),process regulated by a protein or RNA in molecular biology,wikibase-item,32,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P130,,,,10,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P131,located in the administrative territorial entity,the item is located on the territory of the following administrative entity. Use P276 for specifying locations that are non-administrative places and for items about events. Use P1382 if the item falls only partially into the administrative entity,wikibase-item,17,13,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | Key Files\2-12-26 Chrystallum Architecture - CONSOLIDATED.md | Relationships\relationship_types_registry_master.csv | Relationships\relationship_types_registry_master.pre_property_catalog_enrichment_2026-02-13.csv,yes
P132,,,,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P137,operator,"person, profession, organization or entity that operates the equipment, facility, or service",wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P138,named after,"entity or event that inspired the subject's name, or namesake (in at least one language). Qualifier ""applies to name"" (P5168) can be used to indicate which one",wikibase-item,43,18,ARCHITECTURE_IMPLEMENTATION_INDEX.md | FAST\FASTTopical.marcxml | JSON\chrystallum_schema.json | Key Files\2-12-26 Chrystallum Architecture - CONSOLIDATED.md | Neo4j\FEDERATION_BACKLINK_STRATEGY.md,yes
P140,religion or worldview,"religion of a person, organization or religious building, or associated with this subject",wikibase-item,16,9,FAST\FASTTopical.marcxml | JSON\chrystallum_schema.json | Python\fast\key\FASTTopical_parsed.csv | Relationships\relationship_types_registry_master.csv | Relationships\relationship_types_registry_master.pre_mapping_sync_2026-02-13.csv,yes
P141,IUCN conservation status,conservation status assigned by the International Union for Conservation of Nature,wikibase-item,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P143,imported from Wikimedia project,source of this claim's value; used in references section by bots or humans importing data from Wikimedia projects,wikibase-item,13,3,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv | Relationships\wikidata_p_api_candidates_2026-02-13.csv,yes
P147,,,,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P149,architectural style,architectural style of a structure,wikibase-item,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P151,,,,4,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P152,,,,14,7,Relationships\relationship_types_registry_master.csv | Relationships\relationship_types_registry_master.pre_property_catalog_enrichment_2026-02-13.csv | Relationships\relationship_types_registry_master.pre_pvalue_curation2_2026-02-13.csv | Relationships\relationship_types_registry_master.pre_pvalue_curation_2026-02-13.csv | Relationships\relationship_types_seed.cypher,no
P155,follows,"immediately prior item in a series of which the subject is a part, preferably use as qualifier of P179 [if the subject has replaced the preceding item, e.g. political offices, use ""replaces"" (P1365)]",wikibase-item,6,5,"Python\retrieve_all_wikidata_periods.py | Relationships\relationship_types_registry_master.csv | Subjects\CIP\2-11-26-property_id,property_label,first_seen_in.csv | Subjects\processing historical periods.md | md\Guides\Temporal_Comprehensive_Documentation.md",yes
P156,followed by,"immediately following item in a series of which the subject is a part, preferably use as qualifier of P179 [if the subject has been replaced, e.g. political offices, use ""replaced by"" (P1366)]",wikibase-item,14,9,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv | Python\retrieve_all_wikidata_periods.py | Relationships\relationship_types_registry_master.csv | Relationships\wikidata_p_api_candidates_2026-02-13.csv,yes
P157,killed by,person or organization who killed the subject,wikibase-item,4,2,Relationships\wikidata_p_api_candidates_2026-02-13.csv | Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P158,seal image,image of subject's seal (emblem),commonsMedia,16,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P160,,,,12,7,FAST\FASTTopical.marcxml | LCSH\skos_subjects\chunks\subjects_chunk_19.jsonld | LCSH\skos_subjects\concepts_only.jsonld | LCSH\skos_subjects\subjects.skosrdf.jsonld | LCSH\skos_subjects\subjects_full_valid.jsonld,no
P161,cast member,"actor in the subject production [use ""character role"" (P453) and/or ""name of the character role"" (P4633) as qualifiers] [use ""voice actor"" (P725) for voice-only role] - [use ""recorded participant"" (P11108) for non-fiction productions]",wikibase-item,4,4,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P162,producer,"person(s) who produced the film, musical work, theatrical production, etc. (for film, this does not include executive producers, associate producers, etc.) [for production company, use P272, video games - use P178]",wikibase-item,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P163,flag,subject's flag,wikibase-item,4,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P165,,,,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P166,award received,"award or recognition received by a person, organization or creative work",wikibase-item,17,10,JSON\chrystallum_schema.json | Relationships\relationship_types_registry_master.csv | Relationships\relationship_types_registry_master.pre_mapping_sync_2026-02-13.csv | Relationships\relationship_types_registry_master.pre_property_catalog_enrichment_2026-02-13.csv | Relationships\relationship_types_registry_master.pre_pvalue_curation2_2026-02-13.csv,yes
P167,structure replaced by,"the item which replaced this building or structure, at the same geographic location",wikibase-item,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P170,creator,maker of this creative work or other object (where no more specific property exists),wikibase-item,18,11,JSON\chrystallum_schema.json | Relationships\relationship_types_registry_master.csv | Relationships\relationship_types_registry_master.pre_mapping_sync_2026-02-13.csv | Relationships\relationship_types_registry_master.pre_property_catalog_enrichment_2026-02-13.csv | Relationships\relationship_types_registry_master.pre_pvalue_curation2_2026-02-13.csv,yes
P176,manufacturer,(main or final) manufacturer or producer of this product,wikibase-item,9,9,JSON\chrystallum_schema.json | Relationships\relationship_types_registry_master.csv | Relationships\relationship_types_registry_master.pre_mapping_sync_2026-02-13.csv | Relationships\relationship_types_registry_master.pre_property_catalog_enrichment_2026-02-13.csv | Relationships\relationship_types_registry_master.pre_pvalue_curation2_2026-02-13.csv,yes
P178,developer,organization or person that developed the item,wikibase-item,1,1,"Subjects\CIP\2-11-26-property_id,property_label,first_seen_in.csv",yes
P179,part of the series,series which contains the subject,wikibase-item,5,3,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
