qid,has_lcc,has_lcsh,has_fast,has_dewey,has_worldcat_entities,has_oclc,has_worldcat_any,has_trismegistos_geo,has_trismegistos_text,has_trismegistos_author,has_trismegistos_god,has_trismegistos_any
Q1034750,false,false,false,false,false,false,false,false,false,false,false,false
Q1039186,false,false,false,false,false,false,false,false,false,false,false,false
Q1041846,false,false,false,false,false,false,false,false,false,false,false,false
Q10423667,false,false,false,false,false,false,false,false,false,false,false,false
Q10429,false,true,false,true,false,false,false,false,false,false,false,false
Q104734052,false,false,false,false,false,false,false,false,false,false,false,false
Q1049992,false,false,false,false,false,false,false,true,false,false,false,true
Q10509,false,true,false,false,true,false,true,false,false,false,false,false
Q1051038,false,false,false,false,false,false,false,false,false,false,false,false
Q1051478,false,false,false,false,false,false,false,false,false,false,false,false
Q105407013,false,false,false,false,false,false,false,false,false,false,false,false
Q105407096,false,false,false,false,false,false,false,false,false,false,false,false
Q1054850,false,false,false,true,false,false,false,false,false,false,false,false
Q1058770,false,true,false,false,false,false,false,false,false,false,false,false
Q1058967,false,false,false,false,false,false,false,false,false,false,false,false
Q1060042,false,false,false,false,false,false,false,false,false,false,false,false
Q1060319,false,true,false,false,false,false,false,false,false,false,false,false
Q1060616,false,false,false,false,false,false,false,false,false,false,false,false
Q106139735,false,false,false,false,false,false,false,false,false,false,false,false
Q1064107,false,true,false,false,false,false,false,false,false,false,false,false
Q1064331,false,false,false,false,false,false,false,false,false,false,false,false
Q106636,false,true,false,false,false,false,false,false,false,false,false,false
Q1068140,false,false,false,false,false,false,false,true,false,false,false,true
Q106869611,false,false,false,false,false,false,false,false,false,false,false,false
Q10690,false,true,true,false,true,false,true,true,false,false,false,true
Q107173751,false,false,false,false,true,false,true,false,false,false,false,false
Q1072945,false,false,false,false,false,false,false,false,false,false,false,false
Q107338,false,true,true,false,false,false,false,true,false,false,false,true
Q107346030,false,false,false,false,false,false,false,false,false,false,false,false
Q10738941,false,false,false,false,false,false,false,false,false,false,false,false
Q107401,false,true,true,false,true,false,true,false,false,false,false,false
Q10742993,false,false,false,false,false,false,false,false,false,false,false,false
Q10758833,false,false,false,false,false,false,false,false,false,false,false,false
Q1076685,false,false,false,false,false,false,false,false,false,false,false,false
Q1076902,false,false,false,false,false,false,false,false,false,false,false,false
Q10775499,false,false,false,false,false,false,false,false,false,false,false,false
Q1079468,false,true,false,false,false,false,false,false,false,false,false,false
Q10801451,false,false,false,false,true,false,true,false,false,false,false,false
Q1080207,false,false,false,false,false,false,false,false,false,false,false,false
Q10822126,false,false,false,false,false,false,false,false,false,false,false,false
Q1082746,false,true,false,false,true,false,true,false,false,false,false,false
Q1083,false,true,false,true,false,false,false,false,false,false,false,false
Q10832225,false,false,false,false,false,false,false,false,false,false,false,false
Q10837371,false,false,false,false,false,false,false,false,false,false,false,false
Q108380878,false,false,false,false,false,false,false,false,false,false,false,false
Q1085906,false,false,false,false,false,false,false,false,false,false,false,false
Q10866,false,true,true,false,false,false,false,false,false,false,false,false
Q10870,false,true,false,false,false,false,false,false,false,false,false,false
Q1087014,false,false,false,false,false,false,false,false,false,false,false,false
Q1092000,false,false,false,false,false,false,false,true,false,false,false,true
Q1092126,false,false,false,false,false,false,false,false,false,false,false,false
Q1092772,false,false,false,false,false,false,false,true,false,false,false,true
Q10931,false,true,false,true,false,false,false,false,false,false,false,false
Q1093156,false,false,false,false,false,false,false,true,false,false,false,true
Q109384761,false,false,false,false,false,false,false,false,false,false,false,false
Q109413760,false,false,false,false,false,false,false,false,false,false,false,false
Q1094443,false,false,false,false,false,false,false,false,false,false,false,false
Q109576,false,false,false,false,false,false,false,true,false,false,false,true
Q109716699,false,false,false,false,false,false,false,false,false,false,false,false
Q1100954,false,true,false,false,false,false,false,true,false,false,false,true
Q110209550,false,false,false,false,false,false,false,false,false,false,false,false
Q110209565,false,false,false,false,false,false,false,false,false,false,false,false
Q11042,false,true,false,true,false,false,false,false,false,false,false,false
Q110475815,false,false,false,false,false,false,false,false,false,false,false,false
Q1111219,false,true,false,false,false,false,false,false,false,false,false,false
Q1111760,false,true,false,false,false,false,false,false,false,false,false,false
Q11125,false,true,false,false,true,false,true,false,false,false,false,false
Q1113070,false,true,false,false,false,false,false,false,false,false,false,false
Q1113311,false,true,false,false,true,false,true,false,false,false,false,false
Q1115527,false,true,false,false,false,false,false,false,false,false,false,false
Q11160,false,true,true,false,true,false,true,false,false,false,false,false
Q112019,false,true,false,false,true,false,true,false,false,false,false,false
Q112044548,false,false,false,false,false,false,false,false,false,false,false,false
Q112309778,false,false,false,false,false,false,false,false,false,false,false,false
Q1123245,false,false,false,false,false,false,false,false,false,false,false,false
Q1123749,false,false,false,false,false,false,false,false,false,false,false,false
Q11241530,false,false,false,false,false,false,false,false,false,false,false,false
Q1125206,false,false,false,false,false,false,false,false,false,false,false,false
Q1130287,false,false,false,false,false,false,false,false,false,false,false,false
Q1131774,false,true,false,false,false,false,false,false,false,false,false,false
Q1135239,false,false,false,false,false,false,false,false,false,false,false,false
Q1135731,false,false,false,false,false,false,false,false,false,false,false,false
Q1135852,false,false,false,false,false,false,false,false,false,false,false,false
Q1136193,false,true,false,false,true,false,true,true,false,false,false,true
Q1136637,false,false,false,false,false,false,false,false,false,false,false,false
Q1136681,false,false,false,false,false,false,false,false,false,false,false,false
Q1137605,false,false,false,false,false,false,false,false,false,false,false,false
Q1139275,false,false,false,false,false,false,false,false,false,false,false,false
Q1139329,false,false,false,false,false,false,false,false,false,false,false,false
Q114,false,true,true,true,true,false,true,false,false,false,false,false
Q1140015,false,false,false,false,false,false,false,false,false,false,false,false
Q11406604,false,true,true,false,true,false,true,false,false,false,false,false
Q1141669,false,true,true,false,false,false,false,true,false,false,false,true
Q1142633,false,false,false,false,false,false,false,false,false,false,false,false
Q1144169,false,false,false,false,false,false,false,false,false,false,false,false
Q1144512,false,false,false,false,false,false,false,true,false,false,false,true
Q1144514,false,false,false,false,false,false,false,true,false,false,false,true
Q1145107,false,false,false,false,false,false,false,false,false,false,false,false
Q1145180,false,false,false,false,false,false,false,true,false,false,false,true
Q1145715,false,true,false,false,false,false,false,true,false,false,false,true
Q1146939,false,false,false,false,false,false,false,false,false,false,false,false
Q1147663,false,true,false,false,false,false,false,false,false,false,false,false
Q1148254,false,false,false,false,false,false,false,false,false,false,false,false
Q114867907,false,false,false,false,false,false,false,false,false,false,false,false
Q114868851,false,false,false,false,false,false,false,false,false,false,false,false
Q114877803,false,false,false,false,false,false,false,false,false,false,false,false
Q114877809,false,false,false,false,false,false,false,false,false,false,false,false
Q114877817,false,false,false,false,false,false,false,false,false,false,false,false
Q1149278,false,false,false,false,false,false,false,false,false,false,false,false
Q1149347,false,false,false,false,false,false,false,false,false,false,false,false
Q1150349,false,false,false,false,false,false,false,false,false,false,false,false
Q1150536,false,true,false,false,false,false,false,false,false,false,false,false
Q1151014,false,false,false,true,false,false,false,false,false,false,false,false
Q11514315,false,false,false,false,false,false,false,false,false,false,false,false
Q11517425,false,false,false,false,false,false,false,false,false,false,false,false
Q1151869,false,false,false,false,true,false,true,false,false,false,false,false
Q1153416,false,false,false,false,false,false,false,true,false,false,false,true
Q1154467,false,false,false,false,false,false,false,false,false,false,false,false
Q1154499,false,false,false,false,false,false,false,false,false,false,false,false
Q115476,false,true,false,false,false,false,false,false,false,false,false,false
Q1155622,false,true,false,false,false,false,false,false,false,false,false,false
Q1158903,false,false,false,false,false,false,false,false,false,false,false,false
Q1160195,false,true,true,false,false,false,false,false,false,false,false,false
Q116404,false,true,true,false,false,false,false,false,false,false,false,false
Q116440,false,true,false,false,true,false,true,false,false,false,false,false
Q116442617,false,false,false,false,false,false,false,false,false,false,false,false
Q1164460,false,false,false,false,false,false,false,false,false,false,false,false
Q116450968,false,false,false,false,false,false,false,false,false,false,false,false
Q116531,false,true,false,false,false,false,false,false,false,false,false,false
Q116592,false,false,false,false,true,false,true,false,false,false,false,false
Q1167158,false,false,false,false,false,false,false,false,false,false,false,false
Q1168287,false,true,true,false,false,false,false,false,false,false,false,false
Q116875405,false,false,false,false,false,false,false,false,false,false,false,false
Q1171909,false,false,false,false,false,false,false,false,false,false,false,false
Q117326694,false,false,false,false,false,false,false,false,false,false,false,false
Q1173534,false,false,false,false,false,false,false,false,false,false,false,false
Q117382,false,false,false,false,false,false,false,true,false,false,false,true
Q11748141,false,false,false,false,false,false,false,false,false,false,false,false
Q11767,false,true,false,true,false,false,false,false,false,false,false,false
Q11772,false,false,false,true,false,false,false,false,false,false,false,false
Q11799323,false,false,false,false,true,false,true,false,false,false,false,false
Q11818846,false,false,false,false,false,false,false,false,false,false,false,false
Q11822,false,true,true,false,false,false,false,false,false,false,false,false
Q1185210,false,true,false,false,false,false,false,false,false,false,false,false
Q11855334,false,false,false,false,false,false,false,false,false,false,false,false
Q11874074,false,false,false,false,true,false,true,false,false,false,false,false
Q11874075,false,true,true,false,true,false,true,false,false,false,false,false
Q11917,false,true,true,true,false,false,false,false,false,false,false,false
Q11929,false,true,false,false,true,false,true,false,false,false,false,false
Q119328980,false,false,false,false,false,false,false,false,false,false,false,false
Q11939,false,true,false,false,true,false,true,true,false,false,false,true
Q11944146,false,false,false,false,false,false,false,false,false,false,false,false
Q11944750,false,false,false,false,false,false,false,false,false,false,false,false
Q1195116,false,false,false,false,false,false,false,false,false,false,false,false
Q1195159,false,false,false,false,false,false,false,false,false,false,false,false
Q1196237,false,false,false,false,false,false,false,false,false,false,false,false
Q11967,false,true,true,false,false,false,false,false,false,false,false,false
Q1204373,false,false,false,false,true,false,true,false,false,false,false,false
Q120753915,false,false,false,false,false,false,false,false,false,false,false,false
Q12076728,false,true,false,false,true,false,true,false,false,false,false,false
Q12108438,false,false,false,false,false,false,false,false,false,false,false,false
Q121157,false,true,true,false,true,false,true,false,false,false,false,false
Q121378,false,true,true,false,true,false,true,false,false,false,false,false
Q121599459,false,false,false,false,false,false,false,false,false,false,false,false
Q1218,true,true,true,true,true,false,true,true,false,false,false,true
Q12180802,false,false,false,false,false,false,false,false,false,false,false,false
Q12184,false,true,false,true,false,false,false,false,false,false,false,false
Q12191,false,true,true,true,true,false,true,false,false,false,false,false
Q12191403,false,false,false,false,false,false,false,false,false,false,false,false
Q12195954,false,false,false,false,false,false,false,false,false,false,false,false
Q12212140,false,false,false,false,false,false,false,false,false,false,false,false
Q1221375,false,true,false,false,false,false,false,false,false,false,false,false
Q12225,false,true,true,false,false,false,false,false,false,false,false,false
Q12233160,false,false,false,false,false,false,false,false,false,false,false,false
Q12233181,false,false,false,false,false,false,false,false,false,false,false,false
Q1223774,false,false,false,false,false,false,false,false,false,false,false,false
Q1223923,false,true,true,false,false,false,false,false,false,false,false,false
Q12243798,false,false,false,false,false,false,false,false,false,false,false,false
Q1224979,false,false,false,false,true,false,true,false,false,false,false,false
Q1225372,false,false,false,false,true,false,true,false,false,false,false,false
Q1227044,false,false,false,false,false,false,false,false,false,false,false,false
Q1227091,false,true,false,false,false,false,false,false,false,false,false,false
Q12272238,false,false,false,false,false,false,false,false,false,false,false,false
Q122766460,false,false,false,false,false,false,false,false,false,false,false,false
Q1227665,false,false,false,false,false,false,false,false,false,false,false,false
Q1227719,false,false,false,false,false,false,false,true,false,false,false,true
Q12279888,false,false,false,false,false,false,false,false,false,false,false,false
Q122803,false,true,true,false,false,false,false,false,false,false,false,false
Q12282914,false,false,false,false,false,false,false,false,false,false,false,false
Q12286651,false,true,false,false,false,false,false,false,false,false,false,false
Q1228835,false,false,false,false,false,false,false,false,false,false,false,false
Q12292904,false,false,false,false,false,false,false,false,false,false,false,false
Q1229333,false,false,false,false,false,false,false,false,false,false,false,false
Q1229367,false,false,false,false,false,false,false,false,false,false,false,false
Q122953,false,true,false,false,true,false,true,false,false,false,false,false
Q12299095,false,false,false,false,false,false,false,false,false,false,false,false
Q1231483,false,true,false,false,true,false,true,false,false,false,false,false
Q1231514,false,false,false,false,false,false,false,false,false,false,false,false
Q1231948,false,true,false,false,true,false,true,false,false,false,false,false
Q123240563,false,false,false,false,false,false,false,false,false,false,false,false
Q1232572,false,false,false,false,false,false,false,false,false,false,false,false
Q1232816,false,true,false,false,true,false,true,false,false,false,false,false
Q1233131,false,false,false,false,false,false,false,true,false,false,false,true
Q1233234,false,true,false,false,false,false,false,false,false,false,false,false
Q123437424,false,false,false,false,false,false,false,false,false,false,false,false
Q1235515,false,false,false,false,false,false,false,false,false,false,false,false
Q1235930,false,false,false,false,false,false,false,false,false,false,false,false
Q12359550,false,false,false,false,false,false,false,false,false,false,false,false
Q1236078,false,false,false,false,false,false,false,true,false,false,false,true
Q12364626,false,false,false,false,false,false,false,false,false,false,false,false
Q123909218,false,false,false,false,false,false,false,false,false,false,false,false
Q123911600,false,false,false,false,false,false,false,false,false,false,false,false
Q12412084,false,true,false,false,false,false,false,false,false,false,false,false
Q12412094,false,false,false,false,false,false,false,false,false,false,false,false
Q124281,false,true,false,false,false,false,false,true,false,false,false,true
Q12431,false,false,true,false,false,false,false,false,false,false,false,false
Q12435629,false,false,false,false,false,false,false,false,false,false,false,false
Q1243772,false,false,false,false,false,false,false,true,false,false,false,true
Q1244536,false,true,false,false,true,false,true,false,false,false,false,false
Q124456,false,true,true,false,false,false,false,true,false,false,false,true
Q124572,false,false,false,false,false,false,false,false,false,false,false,false
Q1245720,false,true,false,false,true,false,true,false,false,false,false,false
Q1246006,false,false,false,false,false,false,false,false,false,false,false,false
Q1246140,false,false,false,false,false,false,false,true,false,false,false,true
Q124666248,false,false,false,false,false,false,false,false,false,false,false,false
Q124734,false,false,false,true,false,false,false,false,false,false,false,false
Q1248071,false,false,false,false,false,false,false,false,false,false,false,false
Q1248150,false,true,false,false,true,false,true,false,false,false,false,false
Q124925,false,true,false,false,false,false,false,false,false,false,false,false
Q1249309,false,true,false,false,false,false,false,false,false,false,false,false
Q1249412,false,false,false,false,false,false,false,true,false,false,false,true
Q1250999,false,true,false,false,false,false,false,false,false,false,false,false
Q1251026,false,false,false,false,false,false,false,false,false,false,false,false
Q1254480,false,false,false,false,false,false,false,true,false,false,false,true
Q12554,false,true,true,true,false,false,false,false,false,false,false,false
Q1256,false,true,true,true,false,false,false,true,false,false,false,true
Q12560,false,true,false,false,true,false,true,false,false,false,false,false
Q1257335,false,true,true,false,false,false,false,false,false,false,false,false
Q1258998,false,false,false,false,false,false,false,false,false,false,false,false
Q126084,false,true,true,false,true,false,true,false,false,false,false,false
Q126094,false,false,false,false,false,false,false,false,false,false,false,false
Q126307,false,false,false,false,false,false,false,false,false,false,false,false
Q126668,false,false,false,false,false,false,false,false,false,false,false,false
Q1267522,false,false,false,false,false,false,false,false,false,false,false,false
Q126898,false,true,true,false,true,false,true,false,false,false,false,false
Q126982,false,true,true,false,false,false,false,false,false,false,false,false
Q1270536,false,false,false,false,false,false,false,false,false,false,false,false
Q127063,false,true,true,false,true,false,true,false,false,false,false,false
Q1271696,false,true,false,false,false,false,false,false,false,false,false,false
Q1273,false,true,false,true,false,false,false,true,false,false,false,true
Q127389,false,true,false,false,false,false,false,false,false,false,false,false
Q127544,false,false,false,false,false,false,false,false,false,false,false,false
Q1277168,false,true,false,false,false,false,false,false,false,false,false,false
Q127751,false,true,false,true,false,false,false,false,false,false,false,false
Q1277868,false,false,false,false,false,false,false,false,false,false,false,false
Q1279180,false,false,false,false,false,false,false,false,false,false,false,false
Q1280,false,true,true,true,true,false,true,false,false,false,false,false
Q128087,false,false,false,false,false,false,false,false,false,false,false,false
Q128089,false,true,false,false,false,false,false,false,false,false,false,false
Q128119,false,false,false,false,false,false,false,false,false,false,false,false
Q128134,false,false,false,false,false,false,false,false,false,false,false,false
Q128230,false,false,false,false,false,false,false,false,false,false,false,false
Q12837,false,true,true,true,true,false,true,false,false,false,false,false
Q1285,false,true,true,false,false,false,false,false,false,false,false,false
Q1286247,false,false,false,false,false,false,false,false,false,false,false,false
Q12872210,false,false,false,false,false,false,false,false,false,false,false,false
Q12872532,false,false,false,false,false,false,false,false,false,false,false,false
Q12874108,false,false,false,false,false,false,false,false,false,false,false,false
Q12875589,false,false,false,false,false,false,false,false,false,false,false,false
Q12875663,false,true,false,false,true,false,true,false,false,false,false,false
Q12875675,false,false,false,false,true,false,true,false,false,false,false,false
Q12875709,false,false,false,false,true,false,true,false,false,false,false,false
Q12875720,false,false,false,false,true,false,true,false,false,false,false,false
Q12875721,false,false,false,false,true,false,true,false,false,false,false,false
Q12875753,false,false,false,false,true,false,true,false,false,false,false,false
Q12875755,false,false,false,false,true,false,true,false,false,false,false,false
Q12875763,false,false,false,false,true,false,true,false,false,false,false,false
Q12875764,false,false,false,false,true,false,true,false,false,false,false,false
Q12875777,false,false,false,false,false,false,false,false,false,false,false,false
Q12875801,false,false,false,false,false,false,false,false,false,false,false,false
Q12875805,false,false,false,false,true,false,true,false,false,false,false,false
Q12876472,false,false,false,false,false,false,false,false,false,false,false,false
Q12876474,false,false,false,false,false,false,false,false,false,false,false,false
Q12876522,false,false,false,false,false,false,false,false,false,false,false,false
Q12877264,false,false,false,false,false,false,false,false,false,false,false,false
Q12877906,false,false,false,false,false,false,false,false,false,false,false,false
Q12878199,false,true,false,false,false,false,false,false,false,false,false,false
Q12878825,false,false,false,false,false,false,false,false,false,false,false,false
Q12879280,false,false,false,false,false,false,false,false,false,false,false,false
Q12879772,false,false,false,false,false,false,false,false,false,false,false,false
Q12880224,false,false,false,false,false,false,false,false,false,false,false,false
Q12881230,false,false,false,false,false,false,false,false,false,false,false,false
Q12881433,false,false,false,false,false,false,false,false,false,false,false,false
Q12882433,false,false,false,false,false,false,false,false,false,false,false,false
Q12882473,false,true,false,false,true,false,true,false,false,false,false,false
Q12884000,false,false,false,false,false,false,false,false,false,false,false,false
Q12884495,false,false,false,false,false,false,false,false,false,false,false,false
Q12885360,false,false,false,false,false,false,false,true,false,false,false,true
Q12885735,false,false,false,false,false,false,false,false,false,false,false,false
Q1289,false,true,false,true,true,false,true,false,false,false,false,false
Q128904,false,true,false,true,true,false,true,false,false,false,false,false
Q12892,false,true,true,true,true,false,true,false,false,false,false,false
Q1289677,false,false,false,false,false,false,false,false,false,false,false,false
Q1289717,false,true,false,false,false,false,false,false,false,false,false,false
Q1289742,false,false,false,false,false,false,false,false,false,false,false,false
Q128978,false,false,false,true,false,false,false,false,false,false,false,false
Q129072,false,true,true,false,true,false,true,false,false,false,false,false
Q12908425,false,false,false,false,false,false,false,false,false,false,false,false
Q1292119,false,false,false,false,false,false,false,false,false,false,false,false
Q1292178,false,true,false,false,false,false,false,false,false,false,false,false
Q129259,false,false,false,false,true,false,true,false,false,false,false,false
Q129296,false,true,true,false,true,false,true,false,false,false,false,false
Q1294629,false,true,true,false,false,false,false,false,false,false,false,false
Q12954324,false,false,false,false,false,false,false,false,false,false,false,false
Q129649,false,true,false,false,false,false,false,false,false,false,false,false
Q1298059,false,true,false,false,false,false,false,false,false,false,false,false
Q12995,false,true,true,false,true,false,true,false,false,false,false,false
Q130272,false,true,false,true,true,false,true,false,false,false,false,false
Q130321,false,false,false,false,false,false,false,true,false,false,false,true
Q1303524,false,false,false,false,false,false,false,false,false,false,false,false
Q13047647,false,false,false,false,false,false,false,false,false,false,false,false
Q130514,false,true,true,false,false,false,false,false,false,false,false,false
Q130542858,false,false,false,false,false,false,false,false,false,false,false,false
Q130580,false,false,false,false,false,false,false,false,false,false,false,false
Q1308,false,true,true,true,false,false,false,false,false,false,false,false
Q1308020,false,false,false,false,false,false,false,false,false,false,false,false
Q1309,false,true,true,false,true,false,true,true,false,false,false,true
Q130958,false,true,true,false,false,false,false,false,false,false,false,false
Q1309744,false,true,false,false,false,false,false,true,false,false,false,true
Q131013,false,true,true,false,true,false,true,false,false,false,false,false
Q131148,false,true,false,false,false,false,false,false,false,false,false,false
Q1311659,false,false,false,false,false,false,false,false,false,false,false,false
Q131293,false,false,false,false,false,false,false,false,false,false,false,false
Q131301,false,true,true,false,true,false,true,false,false,false,false,false
Q131329,false,true,true,false,true,false,true,false,false,false,false,false
Q131365491,false,false,false,false,false,false,false,false,false,false,false,false
Q13137,false,false,false,false,true,false,true,false,false,false,false,false
Q13138,false,true,true,false,true,false,true,false,false,false,false,false
Q1314163,false,true,false,false,false,false,false,false,false,false,false,false
Q13142,false,true,true,false,true,false,true,false,false,false,false,false
Q131434,false,true,true,false,true,false,true,false,false,false,false,false
Q13153,false,false,false,false,false,false,false,false,false,false,false,false
Q131638,false,true,true,false,true,false,true,false,false,false,false,false
Q131694,false,true,true,false,true,false,true,false,false,false,false,false
Q13188714,false,false,false,false,false,false,false,false,false,false,false,false
Q131955,false,true,false,false,false,false,false,false,false,false,false,false
Q131987978,false,false,false,false,false,false,false,false,false,false,false,false
Q132198,false,false,false,false,false,false,false,false,false,false,false,false
Q1323203,false,true,false,false,false,false,false,false,false,false,false,false
Q1323212,true,true,false,false,false,false,false,false,false,false,false,false
Q132404,false,true,true,true,true,false,true,false,false,false,false,false
Q1324235,false,false,false,false,false,false,false,false,false,false,false,false
Q1324578,false,false,false,false,false,false,false,false,false,false,false,false
Q132527193,false,false,false,false,false,false,false,true,false,false,false,true
Q1325419,false,false,false,false,false,false,false,false,false,false,false,false
Q132564,false,true,false,false,false,false,false,false,false,false,false,false
Q1325859,false,false,false,false,false,false,false,false,false,false,false,false
Q1325973,false,true,false,false,false,false,false,true,false,false,false,true
Q132637,false,false,false,true,false,false,false,false,false,false,false,false
Q13274,false,true,false,false,true,false,true,false,false,false,false,false
Q132754,false,true,true,false,false,false,false,false,false,false,false,false
Q13277,false,false,false,false,false,false,false,false,false,false,false,false
Q132801,false,true,true,false,true,false,true,false,false,false,false,false
Q1328271,false,false,false,false,false,false,false,false,false,false,false,false
Q1330965,false,false,false,false,false,false,false,true,false,false,false,true
Q133118,false,true,true,false,true,false,true,true,false,false,false,true
Q133123,false,true,true,false,true,false,true,false,false,false,false,false
Q13320,false,true,true,false,false,false,false,false,false,false,false,false
Q1332013,false,false,false,false,false,false,false,false,false,false,false,false
Q13329,false,true,true,false,true,false,true,false,false,false,false,false
Q1333237,false,false,false,false,false,false,false,false,false,false,false,false
Q1335068,false,false,false,false,false,false,false,false,false,false,false,false
Q13360,false,true,true,false,true,false,true,false,false,false,false,false
Q133610270,false,false,false,false,false,false,false,false,false,false,false,false
Q13364,false,true,true,true,false,false,false,true,false,false,false,true
Q13367,false,true,true,false,true,false,true,true,false,false,false,true
Q13369,false,true,true,false,true,false,true,false,false,false,false,false
Q13373,false,true,true,false,false,false,false,false,false,false,false,false
Q13375,false,true,true,true,true,false,true,false,false,false,false,false
Q13378,false,true,true,false,true,false,true,false,false,false,false,false
Q13386,false,true,true,false,false,false,false,false,false,false,false,false
Q13396,false,true,true,false,true,false,true,true,false,false,false,true
Q13407147,false,false,false,false,false,false,false,false,false,false,false,false
Q13409862,false,false,false,false,false,false,false,false,false,false,false,false
Q134121,false,true,true,false,true,false,true,false,false,false,false,false
Q134287,false,true,false,false,true,false,true,true,false,false,false,true
Q134291,false,true,true,false,false,false,false,false,false,false,false,false
Q13437,false,true,true,false,false,false,false,false,false,false,false,false
Q134404,false,false,false,false,false,false,false,false,false,false,false,false
Q1344749,false,false,false,false,false,false,false,false,false,false,false,false
Q134494,false,false,false,false,true,false,true,false,false,false,false,false
Q13450,false,true,false,false,true,false,true,false,false,false,false,false
Q134509,false,true,false,false,false,false,false,false,false,false,false,false
Q134514,false,true,true,false,false,false,false,false,false,false,false,false
Q1346328,false,false,false,false,false,false,false,false,false,false,false,false
Q134672,false,true,true,false,true,false,true,false,false,false,false,false
Q134674,false,true,true,false,true,false,true,false,false,false,false,false
Q1346749,false,false,false,false,false,false,false,true,false,false,false,true
Q134703,false,true,true,false,true,false,true,false,false,false,false,false
Q134705,false,false,true,false,false,false,false,false,false,false,false,false
Q134762,false,true,true,false,false,false,false,false,false,false,false,false
Q134838301,false,false,false,false,false,false,false,false,false,false,false,false
Q1348385,false,false,false,false,false,false,false,false,false,false,false,false
Q1348600,false,false,false,false,false,false,false,false,false,false,false,false
Q13498,false,true,true,false,true,false,true,false,false,false,false,false
Q1354411,false,true,false,false,true,false,true,false,false,false,false,false
Q13582280,false,false,false,false,false,false,false,false,false,false,false,false
Q1361580,false,true,false,false,false,false,false,true,false,false,false,true
Q13619,false,true,false,false,true,false,true,false,false,false,false,false
Q136217,false,true,false,false,true,false,true,false,false,false,false,false
Q13625,false,true,false,false,true,false,true,false,false,false,false,false
Q13630,false,true,false,false,true,false,true,false,false,false,false,false
Q13635419,false,false,false,false,false,false,false,false,false,false,false,false
