place_type_token,row_count,geonames_signal_count,geonames_signal_present,canonical_type_id,canonical_type_label,distinction_root_type_id,distinction_root_type_label,mapping_rule,needs_review,review_bucket,quality_star,quality_star_reason,is_fully_triangulated,wikidata_match_qid,wikidata_match_label,wikidata_match_description,wikidata_type_qids,wikidata_type_labels,wikidata_geo_score,wikidata_geo_matches,wikidata_label_match_strength,wikidata_geo_pids_present,wikidata_geo_pid_count,wikidata_time_pids_present,wikidata_time_pid_count,wikidata_periodo_ids,wikidata_start_time_values,wikidata_end_time_values,wikidata_error
earthwork,35,0,false,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,fallback:unmapped,true,REVIEW_REQUIRED,bronze_star,unresolved_or_low_confidence,false,Q326478,land art,form of art creation in which landscape and the work of art are inextricably linked,Q1792379|Q557141|Q968159,art genre|public art|art movement,1,cape,0,,0,,0,,,,
frontier-system-limes,17,2,true,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,fallback:unmapped,true,REVIEW_REQUIRED,bronze_star,unresolved_or_low_confidence,false,,,,,,0,,0,,0,,0,,,,
nome-gr,17,0,false,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,fallback:unmapped,true,REVIEW_REQUIRED,bronze_star,unresolved_or_low_confidence,false,Q1209188,Greek name,Wikimedia list article,Q13406463,Wikimedia list article,0,none,0,,0,,0,,,,
taberna-shop,15,0,false,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,fallback:unmapped,true,REVIEW_REQUIRED,bronze_star,unresolved_or_low_confidence,false,,,,,,0,,0,,0,,0,,,,
coastal-change,8,0,false,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,fallback:unmapped,true,REVIEW_REQUIRED,bronze_star,unresolved_or_low_confidence,false,Q57859363,"Coastal Changes Over the Past 200 Years Around Ovalau and Moturiki Islands, Fiji: Implications for coastal zone management",article published in 2000,Q13442814,scholarly article,1,island,0,,0,,0,,,,
regio-augusti,7,0,false,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,fallback:unmapped,true,REVIEW_REQUIRED,bronze_star,unresolved_or_low_confidence,false,,,,,,0,,0,,0,,0,,,,
piscina-roman,6,0,false,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,fallback:unmapped,true,REVIEW_REQUIRED,bronze_star,unresolved_or_low_confidence,false,Q17651337,piscina Romano,swimming pool in Milan,Q1076486|Q1501,sports venue|swimming pool,1,port,0,P131|P17|P625,3,,0,,,,
ceramicproduction,5,1,true,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,fallback:unmapped,true,REVIEW_REQUIRED,bronze_star,unresolved_or_low_confidence,false,,,,,,0,,0,,0,,0,,,,
salt-pan-salina,5,0,false,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,fallback:unmapped,true,REVIEW_REQUIRED,bronze_star,unresolved_or_low_confidence,false,,,,,,0,,0,,0,,0,,,,
metalworking,4,0,false,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,fallback:unmapped,true,REVIEW_REQUIRED,bronze_star,unresolved_or_low_confidence,false,Q953045,metalworking,process of making items from metal; production and processing of shaped workpieces made of metals,Q104637425|Q627436|Q8187769,material process|field of work|economic activity,0,none,3,,0,,0,,,,
nome-egyptian,3,0,false,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,fallback:unmapped,true,REVIEW_REQUIRED,bronze_star,unresolved_or_low_confidence,false,,,,,,0,,0,,0,,0,,,,
place,3,0,false,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,fallback:unmapped,true,REVIEW_REQUIRED,bronze_star,unresolved_or_low_confidence,false,Q7200212,Place,family name,Q101352,family name,0,none,3,,0,,0,,,,
polis,3,0,false,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,fallback:unmapped,true,REVIEW_REQUIRED,bronze_star,unresolved_or_low_confidence,false,Q15753338,Polis,academic journal,Q5633421,scientific journal,0,none,3,P17,1,,0,,,,
space-uncovered,3,1,true,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,fallback:unmapped,true,REVIEW_REQUIRED,bronze_star,unresolved_or_low_confidence,false,,,,,,0,,0,,0,,0,,,,
hunting-base,2,0,false,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,fallback:unmapped,true,REVIEW_REQUIRED,bronze_star,unresolved_or_low_confidence,false,,,,,,0,,0,,0,,0,,,,
isthmus,2,2,true,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,fallback:unmapped,true,REVIEW_REQUIRED,bronze_star,unresolved_or_low_confidence,false,Q2532492,bridge,"edge of a graph whose deletion increases the graph's number of connected components; equivalently, an edge not contained in any cycle",Q3297804|Q77730568,edge|graph theory term,1,bridge,0,,0,,0,,,,
meadow,2,0,false,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,fallback:unmapped,true,REVIEW_REQUIRED,bronze_star,unresolved_or_low_confidence,false,Q7777019,meadow,field vegetated primarily by grass and other non-woody plants (grassland),Q1006733|Q52105,grassland|habitat,0,none,3,,0,,0,,,,
slag-heap,2,0,false,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,fallback:unmapped,true,REVIEW_REQUIRED,bronze_star,unresolved_or_low_confidence,false,Q819511,spoil tip,pile built of accumulated spoil,Q10460934|Q2710737,artificial hill|waste dump,1,hill,0,,0,,0,,,,
wheel,2,0,false,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,fallback:unmapped,true,REVIEW_REQUIRED,bronze_star,unresolved_or_low_confidence,false,Q446,wheel,circular item that rotates about an axial bearing; one of the six simple machines,Q186713,simple machine,0,none,3,,0,,0,,,,
dike-group,1,0,false,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,fallback:unmapped,true,REVIEW_REQUIRED,bronze_star,unresolved_or_low_confidence,false,,,,,,0,,0,,0,,0,,,,
grama,1,0,false,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,fallback:unmapped,true,REVIEW_REQUIRED,bronze_star,unresolved_or_low_confidence,false,Q37561581,Grama,family name,Q101352,family name,0,none,3,,0,,0,,,,
military-base,1,0,false,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,fallback:unmapped,true,REVIEW_REQUIRED,bronze_star,unresolved_or_low_confidence,false,Q245016,military base,facility directly owned and operated by or for the military,Q136558811|Q18691599|Q811979,type of military area|military installation|architectural structure,1,structure,0,,0,,0,,,,
pit,1,0,false,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,fallback:unmapped,true,REVIEW_REQUIRED,bronze_star,unresolved_or_low_confidence,false,Q1793026,Pit,male given name,Q202444|Q3409032,given name|unisex given name,0,none,3,,0,,0,,,,
quarry-group,1,0,false,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,fallback:unmapped,true,REVIEW_REQUIRED,bronze_star,unresolved_or_low_confidence,false,,,,,,0,,0,,0,,0,,,,
shipshed,1,0,false,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,fallback:unmapped,true,REVIEW_REQUIRED,bronze_star,unresolved_or_low_confidence,false,Q120685369,shipshed,covered slipway for dry-land storage of ancient Greek and Roman warships,Q361945,slipway,0,none,3,,0,,0,,,,
siege-ramp,1,0,false,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,fallback:unmapped,true,REVIEW_REQUIRED,bronze_star,unresolved_or_low_confidence,false,Q37448746,Siege ramparts in Kunratice (Prague),,Q57821,fortification,1,fort,0,P131|P17|P625,3,,0,,,,
space-interior,1,0,false,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,fallback:unmapped,true,REVIEW_REQUIRED,bronze_star,unresolved_or_low_confidence,false,,,,,,0,,0,,0,,0,,,,
unlocated-group,1,0,false,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,UNKNOWN_OR_NEEDS_REVIEW,Unknown or Needs Review,fallback:unmapped,true,REVIEW_REQUIRED,bronze_star,unresolved_or_low_confidence,false,,,,,,0,,0,,0,,0,,,,
